product_name,product_url
"Align Pant II 25""",https://shop.lululemon.com/p/women-pants/Align-Pant-2/_/prod2020012?color=35552
"Train Times 7/8 Pant 25""",https://shop.lululemon.com/p/women-pants/Train-Times-7-8-Pant/_/prod8555523?color=1966
"Speed Up Tight 28""",https://shop.lululemon.com/p/women-pants/Speed-Up-Tight-Luxtreme-28/_/prod8780566?color=36839
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763
"Wunder Under High-Rise 7/8 Tight Full-On Luxtreme 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-78-Tight-Hi-Rise/_/prod8470056?color=31382
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28/_/prod8780551?color=35485
"Fast & Free 7/8 Tight II Nulux 25""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Tight-II/_/prod8620001?color=0001
"All The Right Places Pant II 28""",https://shop.lululemon.com/p/women-pants/All-The-Right-Places-Pant-II/_/prod1550047?color=35653
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001
"Wunder Under High-Rise Tight Engineered Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Engineered-Fullux/_/prod9080165?color=37829
"Wunder Under Super High-Rise Tight Full-On Luon Online Only 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Super-HR-Tight-Fluon/_/prod8780573?color=0001
"Wunder Under High-Rise Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Full-Lux/_/prod8330011?color=31382
"Wunder Under High-Rise Tight Mesh 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Mesh-28/_/prod9200516?color=31383
"Tight Stuff Tight II Online Only 25""",https://shop.lululemon.com/p/women-pants/Tight-Stuff-Tight-II/_/prod8260099?color=35653
"Wunder Under High-Rise 7/8 Tight Full-On Luon 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-78-Tight/_/prod8430902?color=0001
"Speed Up Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Speed-Up-Tight-Fullux/_/prod8690540?color=31382
"Wunder Under High-Rise Tight 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight/_/prod8470076?color=31851
"Wunder Under High-Rise Tight Nulux 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Nulux/_/prod8690544?color=0001
"Wunder Under High-Rise Tight Mesh 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Mesh-28/_/prod9200516?color=31383
"Wunder Under High-Rise Tight Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-FLuon/_/prod8470038?color=0001
"Reveal Tight Lattice Paisley 28""",https://shop.lululemon.com/p/women-pants/Reveal-Tight-Lattice-Paisley/_/prod8900544?color=0001
"Wunder Under High-Rise Tight Foil 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Foil-28/_/prod9200537?color=36148
"Wunder Under High-Rise Tight Brushed 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Brush/_/prod8810020?color=1966
"Wunder Under High-Rise 7/8 Tight 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-78/_/prod8520006?color=36158
"Fast & Free Full Length Tight Nulux 28""",https://shop.lululemon.com/p/what-we-love/Fast-And-Free-Full-Tight/_/prod9200031?color=27783
"To The Beat Tight 24"" Lululemon X SoulCycle",https://shop.lululemon.com/p/women-pants/To-The-Beat-Tight-24/_/prod9200527?color=0001
"Ride & Reflect Tight 28"" Lululemon X SoulCycle",https://shop.lululemon.com/p/women-pants/Ride-Reflect-Tight-28/_/prod9200528?color=0001
"Wunder Under High-Rise Tight (Tall) Online Only 31""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tall-Luon/_/prod8920001?color=1966
"Wunder Under High-Rise 7/8 Tight Luxtreme 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-78-LUX/_/prod8431186?color=24921
"Reveal Tight En Avante 26""",https://shop.lululemon.com/p/women-pants/Reveal-Tight-En-Avante-26/_/prod9200520?color=29931
"Channel Your Energy Tight 28""",https://shop.lululemon.com/p/women-pants/Channel-Your-Energy-Tight-28/_/prod9200518?color=0023
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739
"To The Beat Tight Reflective 24"" Lululemon X SoulCycle",https://shop.lululemon.com/p/w-soul-cycle/To-The-Beat-Tight-24-Ref/_/prod9290087?color=37982
"Train Times 7/8 Pant 25""",https://shop.lululemon.com/p/women-pants/Train-Times-7-8-Pant-MD/_/prod8720126?color=35653
"Wunder Under High-Rise Tight Tech Mesh 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Pant-HR-Tech-Mesh-MD/_/prod9070007?color=28603
Toasty Tech Tight II,https://shop.lululemon.com/p/women-pants/Toasty-Tech-Tight-II-MD/_/prod9270052?color=35702
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985
"Wunder Under High-Rise Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Fullux-MD/_/prod8660068?color=35976
Wunder Under High-Rise Tight Nulux,https://shop.lululemon.com/p/women-pants/Wunder-Under-Pant-NULUX-MD/_/prod8660085?color=35993
"Align Pant II 25""",https://shop.lululemon.com/p/women-pants/Align-Pant-2-MD/_/prod8360162?color=35477
"Fast & Free Full Length Tight Nulux 28""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Full-Tight-MD/_/prod9260312?color=35982
"Speed Up Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Speed-Up-Tight-Fullux-MD/_/prod8800122?color=35463
"Fast & Free 7/8 Tight II Nulux 25""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Tight-II-MD/_/prod8780665?color=31136
