"Wunder Under Super High-Rise Tight Full-On Luon Online Only 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Super-HR-Tight-Fluon/_/prod8780573?color=0001,3 out of 5,1,first lululemon purchase...not that impressed,"this was my first lululemon purchase because i dont normally spend this much money on clothes, but i got it for christmas and allowed myself to splurge this once. although i liked the super high rise fit, i am quite disapointed in the fabric. it was pilling quite a bit after only a few washes (on cold/decilate with no drying), they also attract everything-lint, dog hair, feathers, etc... and because of this. they dont really ever look clean.
I wonder if all the pants are the same fabric or if the other styles are more sheer to not attract so much lint and stuff.",1 out of 5,LLOCKHART,"ABBOTSFORD, BC",,25-34,CURVY,second skin,,fabric,2019-02-07,0,0,"{'LL_response_content': 'Dear llockhart,\n\nThanks for reaching out and providing this feedback for us. We hear where you\'re coming from and I\'m sorry to hear your Wunder Under Super Hi-Rise Tight *Full-On Luon Online Only 28"" haven\'t held up for you as expected. Keep your eyes peeled for an email headed your way so we can follow up and chat further.\nTalk soon!', 'LL_response_date': 'February 8, 2019'}"
"Wunder Under Super High-Rise Tight Full-On Luon Online Only 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Super-HR-Tight-Fluon/_/prod8780573?color=0001,3 out of 5,1,lint magnets,"I've been wearing Wunder Unders for a few years now and have always loved them - never had any problems. Something must have changed because the last two pairs I bought were covered in lint after washing them for the first time, and the lint is impossible to get out. My used to be favorite leggings now look really cheap and crappy and it's making me sad.",1 out of 5,AVBURKE,"CORVALLIS, OR",SWEATY GENERALIST,18-24,ATHLETIC,,,the lint,2019-02-07,0,0,"{'LL_response_content': 'Dear avburke,\n\nThank you for taking the time to review the Wunder Under Super Hi-Rise Tight *Full-On Luon Online Only 28"". We\'re sorry to read of your recent experience and would love to discuss this further. To carry on this conversation, we\'ve sent you a follow up email. Chat soon!', 'LL_response_date': 'February 8, 2019'}"
"Wunder Under Super High-Rise Tight Full-On Luon Online Only 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Super-HR-Tight-Fluon/_/prod8780573?color=0001,3 out of 5,1,Dissapointing for the price,"I bought these just a few months ago and they fit really well! I was really happy with the way they fit, however, I do not workout in them or wear them excessively and there is a tear on the butt. So many people have recommended them to me, but they do not last very long for the price.",3 out of 5,KASFOUR,,,,,,,,2019-02-07,0,0,"{'LL_response_content': 'Dear Kasfour,\n\nThank you for taking the time to share your feedback with us. We\'re so sorry to hear that your Wunder Under Super Hi-Rise Tight *Full-On Luon Online Only 28"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Give us a call at our Guest Education Centre (1.877.263.9300) or jump on live chat to speak directly with an educator. We look forward to speaking with you soon!', 'LL_response_date': 'February 7, 2019'}"
"Wunder Under Super High-Rise Tight Full-On Luon Online Only 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Super-HR-Tight-Fluon/_/prod8780573?color=0001,3 out of 5,1,Meh,"I've always loved high wasted leggings so I tried these out just for everyday wear. I'm 5'4 and the top part won't stay up; these leggings are not meant for shorter people. Also, after 3-4 wears, massive pilling down the back of the legs. The fabric also feels a lot thinner than the normal high wasted wonder unders.",2 out of 5,MEG12345,,,18-24,PETITE,,,,2019-02-06,0,0,"{'LL_response_content': 'Dear Meg12345,\n\nThank you for taking the time to share your feedback with us. We\'re so sorry to hear that your Wunder Under Super Hi-Rise Tight *Full-On Luon Online Only 28"" has started to pill and is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"Wunder Under Super High-Rise Tight Full-On Luon Online Only 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Super-HR-Tight-Fluon/_/prod8780573?color=0001,3 out of 5,1,LIFE CHANGING,"I've been a fan of these leggings for about 4 years now. I love them for not only working out, but also for going to class and lounging. As a college student, I like to make sure my money is well spent, and I also don't have the motivation to wake up for yoga at 6 am and put jeans on for class afterward. I always knew I was a fan of these leggings, however, today completely took me by surprise. As I was walking across campus to my local Kwik Trip, I biffed it on some ice and fell on all fours. My entire shin was covered in snow and dirt and I could feel pain in my knee. When I went back to my dorm, I saw the huge scrape and bruise I suffered from the fall. BUT MY LEGGINGS? PERFECT CONDITION. Not a rip or a tear or a pill in sight. My knee busted up while my leggings remained perfectly intact. And now I will never buy a different brand of leggings again. Thanks Lulu.",5 out of 5,ALAINAGOVEK,"LA CROSSE, WI",YOGI,18-24,PETITE,snug,fit,,2019-02-05,0,0,{}
"Wunder Under Super High-Rise Tight Full-On Luon Online Only 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Super-HR-Tight-Fluon/_/prod8780573?color=0001,3 out of 5,1,See-through fabric!,I bought these about two months ago in my usual size six. After I've been wearing them for two months my partner pointed out that they are SEE-THROUGH! Very embarrassing! Not sure if there was a change in fabric for this specific Wunder Unders but I am definitely disappointed! I would not recommend!,1 out of 5,GOODMOREYOGA,"HALIFAX REGIONAL MUNICIPALITY, NS, CANADA",YOGI,25-34,ATHLETIC,snug,,see-through fabric,2019-02-05,0,0,"{'LL_response_content': 'Dear GoodmoreYoga,\n\nThank you for taking the time to review the Wunder Under Super Hi-Rise Tight *Full-On Luon Online Only 28"". We stand behind the quality of our product, and we want to ensure that you\'re in gear that is performing well for you. I hear that this is not the case and would like to work with you to create a resolution. To carry on this conversation, we\'ve sent you a follow up email. Chat soon!', 'LL_response_date': 'February 5, 2019'}"
"Wunder Under Super High-Rise Tight Full-On Luon Online Only 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Super-HR-Tight-Fluon/_/prod8780573?color=0001,3 out of 5,1,Just right!!!,"Perfect for me. I'm 5' 8"" and generally weight about 112 lbs with narrow hips. This tight in a size 2 is my go-to wardrobe base at least 4 or 5 days a week. My husband and I begin each day with a brisk 3 mile walk. After that. I just layer on whatever meets my need to complete the rest of my day... even into the night. Love these tights!!! (5 pairs and adding). Happy Lulu Lemon shopper!!!!",5 out of 5,CATZZ,SF BAY AREA,YOGI,OVER 65,SLIM,,good quality good look durable comfortable,,2019-02-03,0,0,{}
"Wunder Under Super High-Rise Tight Full-On Luon Online Only 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Super-HR-Tight-Fluon/_/prod8780573?color=0001,3 out of 5,1,Used to love these but not so much anymore,"Seems like the waist stretches out on these pants and I am constantly pulling them up now. I bought a size 8 and also tried on the 6, but found the ankles too tight for my liking. Now I am stuck with a pair of pants that keep falling down. I'm feeling ripped off.",1 out of 5,BLUEBERRY1111,MAPLE RIDGE,RUNNER,35-44,PETITE,tight,,,2019-02-01,0,0,"{'LL_response_content': 'Dear blueberry1111,\n\nThank you for taking the time to share your feedback with us. I\'m sorry to hear that the t Wunder Under Super Hi-Rise Tight *Full-On Luon Online Only 28"" is not performing for you. Give us a call at our Guest Education Centre (1.877.263.9300) or jump on Live Chat to speak directly with an educator. We look forward to speaking with you soon!', 'LL_response_date': 'February 2, 2019'}"
"Wunder Under Super High-Rise Tight Full-On Luon Online Only 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Super-HR-Tight-Fluon/_/prod8780573?color=0001,3 out of 5,2,Would Recommend!,"I got these tights and am happy about my purchase! They're pretty squat proof and have washed well so far. I've worn them several times to my boxing classes and weight lifting, and they stay up pretty well. I do have to pull them up, and kind of wish that I would have gone with my usual 8 instead of a 6, but they get the job done. The print on them is super cute!",4 out of 5,CMARIE06,"CHICAGO, IL",SWEATY GENERALIST,25-34,CURVY,,print,,2019-01-31,0,0,{}
"Wunder Under Super High-Rise Tight Full-On Luon Online Only 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Super-HR-Tight-Fluon/_/prod8780573?color=0001,3 out of 5,2,Really Baggy Around the Waist,"I am a huge fan of Lululemon and I have many of their backpacks and leggings. I decided to try out a new pair of leggings for the gym and I am not a fan at all. I am 5'11 and 135 pounds with a slim figure, I am usually a size 4 but sized up to a 6 as the leggings were see-through around my knees. I have had these leggings for a little under a year and for the first month they fit perfectly. After a while I noticed they started to become very loose around the stomach area and at this point I can barely wear them as they keep sagging. Definitely would not recommend these leggings for working out as you constantly have to pull them up.",1 out of 5,VMMM,,YOGI,18-24,LEAN,oversized,very high rise,to loose around the waist,2019-01-30,0,0,"{'LL_response_content': 'Dear VMMM,\n\nThank you for taking the time to share your feedback with us. We\'re so sorry to hear that your Wunder Under Super Hi-Rise Tight *Full-On Luon Online Only 28"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'January 31, 2019'}"
