"Wunder Under High-Rise Tight 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight/_/prod8470076?color=28510,2.3 out of 5,1,I’m officially addicted!,"My first pair of Lululemon pants and I’m addicted! I’ve already purchased more. They are so comfortable. My favorite part is they are not see-through, even while working out!!!",5 out of 5,MAMABEAR760,SOUTHERN CALIFORNIA,SWEATY GENERALIST,35-44,CURVY,,,,2019-02-04,0,0,{}
"Wunder Under High-Rise Tight 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight/_/prod8470076?color=28510,2.3 out of 5,1,Horrible seams,The thread on the seams is awful. There was a loose thread on the butt seam which unraveled and now there is a weird gap. Im going to say it was a bad batch because overall they're really nice.,1 out of 5,DEN17,"COLUMBUS, OH, USA",SWEATY GENERALIST,18-24,ATHLETIC,second skin,,,2019-02-04,0,0,"{'LL_response_content': 'Dear Den17,\n\nThank you for taking the time to review the Wunder Under Hi-Rise Tight *28"". We stand behind the quality of our product, and we want to ensure that you\'re in gear that is performing well for you. I hear that this is not the case and would like to work with you to create a resolution. To carry on this conversation, we\'ve sent you a follow up email. Chat soon!', 'LL_response_date': 'February 5, 2019'}"
"Wunder Under High-Rise Tight 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight/_/prod8470076?color=28510,2.3 out of 5,1,Not the best quality,I love the feel and fit of these leggings but they get super pilly fast and get loose after you wear them once,2 out of 5,GFIASCHETTI8,CONNECTICUT,RUNNER,18-24,ATHLETIC,just right,slimming,pilly,2019-02-04,0,0,"{'LL_response_content': 'Dear Gfiaschetti8,\n\nThanks for taking the time to share your thoughts on the Wunder Under Hi-Rise Tight *28"". We hear where you\'re coming from and I\'m sorry to hear your pants haven\'t held up for you as expected. We\'re eager to work out a resolution, so I\'m sending you an email to chat more.', 'LL_response_date': 'February 4, 2019'}"
"Wunder Under High-Rise Tight 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight/_/prod8470076?color=28510,2.3 out of 5,1,Piling!,"I got these pants as a gift on Christmas. Wanted to love but first they don't stay on. I'm normally a size 4. Second, the piling is bad and I washed it with cold water and air dry. :(",2 out of 5,VIVI34,"LITTLETON, CO",SWEATY GENERALIST,25-34,PETITE,oversized,,,2019-02-03,0,0,"{'LL_response_content': 'Dear Vivi34,\n\nThank you for taking the time to share your feedback with us. I am sorry to hear that your Wunder Under Hi-Rise Tight *28"" is not performing as you hoped it would be. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 4, 2019'}"
"Wunder Under High-Rise Tight 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight/_/prod8470076?color=28510,2.3 out of 5,1,quality issues,The look and feel of these leggings are great however i am dissapointed of how much pilling there is from just wearing them a couple times. I am also not impressed by the stitching along the waistband just under the lululemon logo as it is already coming apart. The fabric on these leggings also attract lint and dust so easily. My overall experience has been great with lululemon but i would say you definitely should have second thoughts before buying these leggings.,2 out of 5,LULUGEEK,"LETHBRIDGE,AB",DANCER,UNDER 18,ATHLETIC,,compression,pilling,2019-02-02,0,0,"{'LL_response_content': ""Dear luluGeek,\n\nThanks for reaching out and providing this feedback for us! We stand behind the quality of our product, and we want to ensure that you're in gear that is performing well for you. I hear that this is not the case and would like to work with you to create a resolution. Please keep an eye on your inbox as I'll be reaching out shortly to connect."", 'LL_response_date': 'February 3, 2019'}"
"Wunder Under High-Rise Tight 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight/_/prod8470076?color=28510,2.3 out of 5,1,Excellent service à la clientèle!!! Produit impeccable!,This guest did not provide a text review.,5 out of 5,PATRICIAQUEBEC,,,,,,,,2019-02-01,0,0,{}
"Wunder Under High-Rise Tight 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight/_/prod8470076?color=28510,2.3 out of 5,1,Stretched out and pilling like crazy,"I was gifted these leggings about 5 months ago and having only worn them 1-2 times a week they are already pilling in between the legs. Further, they are incredibly stretched out at the waistband and saggy around the bum. My weight has not fluctuated, so that would not be the cause of the stretching, and I have made sure to wash them as directed (cold water wash and tumble/air dry) every time. As great as these leggings seem, they did not perform well for me and I would not buy this product again.",2 out of 5,TAYLOR88,"TORONTO, ON, CANADA",YOGI,18-24,ATHLETIC,roomy,,,2019-01-30,1,0,"{'LL_response_content': 'Dear Taylor88,\n\nThank you for taking the time to share your feedback with us. We\'re so sorry to hear that your Wunder Under Hi-Rise Tight *28"" has started to pill and is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'January 31, 2019'}"
"Wunder Under High-Rise Tight 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight/_/prod8470076?color=28510,2.3 out of 5,1,Ripped.. EASILY,"These were hands down my favourite pants for the gym or lounging. However, I wore them figure skating, I fell once and the knee ripped right away. It was that easy. I am not at all impressed. I expected them to be a bit more durable. Needless to say I am disappointed, and will be looking for another great pair of pants that will actually last.",2 out of 5,EMDAWGMILLIONAIRE,"TORONTO, ON",YOGI,25-34,ATHLETIC,tight,,,2019-01-30,1,0,"{'LL_response_content': 'Dear emdawgmillionaire,\n\nThank you for taking the time to share your feedback with us. We\'re so sorry to hear that your Wunder Under Hi-Rise Tight *28"" has ripped. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'January 31, 2019'}"
"Wunder Under High-Rise Tight 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight/_/prod8470076?color=28510,2.3 out of 5,2,The best.,"26 years old and this is only the second pair of Lululemon leggings I’ve purchased. At my age, the price isn’t ideal but a younger friend of mine has every color, every shade, and every pattern of the wunder unders (I’m exaggerating but you get the point). I always tell her how amazing they look on her and she keeps telling me I need a pair. Me being 10 years older- I assume they look good on her cause she’s young and active. But whatever I break down and spend 100 dollars on the basic black wunder unders. Darn. They’re so amazing that it’s upsetting. But then... I break down and by another pair (these babies)...game changer. They’re not only so cute but they’re warm and compress everything beautifully. As someone on the curvier side- I don’t have the confidence to wear leggings without constantly making sure something is covering my bottom, but these make me feel so good and fit. The thicker material makes the fit tighter but they are so flattering! I love them so much and am already ready for my next pair...",5 out of 5,NCLAIRE,"SAN FRANCISCO, CA",RUNNER,25-34,CURVY,tight,,,2019-01-29,5,0,{}
"Wunder Under High-Rise Tight 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight/_/prod8470076?color=28510,2.3 out of 5,2,I love these,I have been dying to get a pair of these in the dark black and they have been out of stock. Please bring them back I love them!,5 out of 5,AMCLA17,,DANCER,,LEAN,snug,,,2019-01-29,1,0,{}
"Wunder Under High-Rise Tight 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight/_/prod8470076?color=28510,2.3 out of 5,2,Terrible pilling,"I've had these leggings for a couple of years now, but I rarely ever reach for them because they started pilling so much within the first few wears. Whenever I do wear them, the pilling just gets worse. I feel like purchasing these leggings was a waste of money since I never wear them because of how bad the quality is. I love other lululemon leggings but I wish I had gotten something else instead of these in this fabric.",1 out of 5,NATALIEK,,SWEATY GENERALIST,18-24,PETITE,roomy,,pilling,2019-01-27,1,1,"{'LL_response_content': ""Dear NatalieK,\n\nI'm sorry to hear of the pilling you're experiencing with our pants. We'd love to chat with you further to gather more information from you and work towards a resolution. We'll be reaching out via email, so keep your eyes peeled on your inbox."", 'LL_response_date': 'January 27, 2019'}"
