"Wunder Under High-Rise Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Full-Lux/_/prod8330011?color=31382,2.9 out of 5,1,Perfect,"I’m 5’2 116 lbs Size 6. This pants is so comfortable and I like the stylle. It’s true to size. This is my 4th pants ( in different styles)
Love it!",5 out of 5,LJMOM2,"FRESNO, CA",SWEATY GENERALIST,35-44,PETITE,,fabric and style,wish their logos are in visible color,2019-02-08,0,0,{}
"Wunder Under High-Rise Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Full-Lux/_/prod8330011?color=31382,2.9 out of 5,1,Not Worth it,"I had to return the pants 2 times because the sizing wasn't right. The return process soooo long and daunting. Then I finally got a pair that fits me just right but the ""high rise"" doesn't stay up. I spent all day pulling them up. Definitely not worth spending 100 dollars on. Very disappointed.",1 out of 5,VROBEL,"KEENE, NH",RUNNER,18-24,CURVY,,soft,return process,2019-02-07,0,0,"{'LL_response_content': 'Dear vrobel,\n\nThank you for taking the time to review the Wunder Under Hi-Rise Tight *Full-On Luxtreme 28"". I completely understand why you\'re disappointed with this and I\'d love to help turn this around. Keep your eyes peeled for an email headed your way so we can follow up and chat further.\nTalk soon!', 'LL_response_date': 'February 8, 2019'}"
"Wunder Under High-Rise Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Full-Lux/_/prod8330011?color=31382,2.9 out of 5,1,Don't Love the Waistband,"I was looking for yoga pants that were high waisted, as I also bought the Seek the Heat bodysuit which I read needs to be paired with a high waisted pant. However, while the waistband may be comfortable it doesn't stay ""high"" while working through flows and I don't get the hugged sensation the description suggests. Overall, they're great for athleisure wearing, but I would search for a different legging if you're hoping for a high rise pant that stays high and that you don't have to worry about while working out.",3 out of 5,AYOGAENTHUSIAST,,YOGI,18-24,ATHLETIC,,,,2019-02-07,0,0,"{'LL_response_content': 'Dear AYogaEnthusiast,\n\nThank you for taking the time to review the Wunder Under Hi-Rise Tight *Full-On Luxtreme 28"". We want you to know, feedback is at the heart of everything we do, and we\'d love to make this experience right for you. Keep your eyes peeled for an email headed your way so we can follow up and chat further.\nTalk soon!', 'LL_response_date': 'February 8, 2019'}"
"Wunder Under High-Rise Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Full-Lux/_/prod8330011?color=31382,2.9 out of 5,1,See-Through Pants,"Very upset with this product, I am a huge fan of Lululemon and this is my first product I've bought that I don't love. I am the same size for most products and these leggings feel fine but they are extremely see through, not even just when I am exercising either I wore them to school and my close friend even pointed out how see through they are when I was just walking!",2 out of 5,EBERRY,"WEYMOUTH, MA",SWEATY GENERALIST,18-24,ATHLETIC,,,see through,2019-02-06,1,0,"{'LL_response_content': 'Hey EBerry,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear your Wunder Under Hi-Rise Tight Full-On Luxtreme 28"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'February 6, 2019'}"
"Wunder Under High-Rise Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Full-Lux/_/prod8330011?color=31382,2.9 out of 5,1,Very Disappointed,I purchased these pants only 2 weeks ago and have worn them twice and they are not living up to what the sales rep told me. I told the sales rep that I didn't want the fabric to pill and I didn't want to constantly keep pulling my pants up. She suggested the luxtreme fabric to help with pilling. I do love the way they feel but when I work out in them I'm constantly pulling them up. They kept falling down that I had to stop running and change my workout to low impact. What I'm most disappointed about is there's already thread coming apart. I didn't want to cut or pull it because I don't want it to get worst. I don't think this is acceptable since I've only had them for two weeks.,2 out of 5,LIVEINYOGAPANTS,"ANAHEIM, CA",SWEATY GENERALIST,35-44,CURVY,,,loose thread,2019-02-06,0,0,"{'LL_response_content': 'Hey Liveinyogapants,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear your Wunder Under Hi-Rise Tight Full-On Luxtreme 28"" is not performing for your sweaty pursuits. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'February 6, 2019'}"
"Wunder Under High-Rise Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Full-Lux/_/prod8330011?color=31382,2.9 out of 5,1,They look and feel great,"LOVE the way these leggings fit and feel. The print (I got the paisley) is cute without being super-loud. ONLY issue...they are white underneath, so when they stretch a lot (I'm thinking wide plie squats in Barre class) you can see the white coming through in a most unfortunate area...think pubic bone. It's not super-bad, just something I noticed when I wore them in class. For the sale price though, I'll call it a win.",3 out of 5,IHEARTME,"SAN DIEGO, CA, USA",SWEATY GENERALIST,35-44,LEAN,,fit feel,,2019-02-05,0,0,"{'LL_response_content': 'Hey Iheartme,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear the fabric of your Wunder Under Hi-Rise Tight Full-On Luxtreme 28"" is not performing for your sweaty pursuits. We stand behind our gear and we\'d love to get in touch. Give us a call at our Guest Education Centre (1.877.263.9300) or jump on Live Chat to speak directly with an educator. We look forward to speaking with you soon!', 'LL_response_date': 'February 6, 2019'}"
"Wunder Under High-Rise Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Full-Lux/_/prod8330011?color=31382,2.9 out of 5,1,Decent Leggings,They started to pill after a 5 or 6 wears between the legs. The material is comfortable (can be worn for a workout or for everyday activities). Unfortunately Lululemon leggings don't hold up that well anymore. They should cost the same as Old navy leggings because they last the same amount of time.,3 out of 5,PETITESHOPPER,CINCINNATI AREA,SWEATY GENERALIST,18-24,PETITE,,,,2019-02-05,0,0,"{'LL_response_content': 'Dear PetiteShopper,\n\nThank you for taking the time to review the Wunder Under Hi-Rise Tight *Full-On Luxtreme 28"". I’m sorry to see you’re having some trouble with your gear—that\'s definitely disappointing. We\'d love to learn more and make things right for you, so keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 5, 2019'}"
"Wunder Under High-Rise Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Full-Lux/_/prod8330011?color=31382,2.9 out of 5,1,"Good, not the best","This was my first purchase in the luxtreme line, and I was surprisingly not pleased with how they fit in comparison to my other wunder under. The texture differs much from my other soft pairs. Tighter on the legs, as there is more compression, than my other pairs. However, by the end of the day, I have to constantly pull up my leggings on my waist. The dark olive is not as green as I thought it would be, but I’m still pleased with the color. My local Lululemon shop didn’t have any dark olive leggings for me to see what the color was like in real life.",2 out of 5,GAILRUD,"FLOWER MOUND, TX",SWEATY GENERALIST,18-24,ATHLETIC,,high wasted,slightly shiny,2019-02-05,0,0,"{'LL_response_content': 'Hey gailrud,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear your Wunder Under Hi-Rise Tight Full-On Luxtreme 28"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'February 6, 2019'}"
"Wunder Under High-Rise Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Full-Lux/_/prod8330011?color=31382,2.9 out of 5,2,Pretty average with an expensive price tag,"The leggings are decent, but nothing to write home about. They’re pretty average quality for something with such a high price tag. They are a nice(ish) thick material that makes them good to lift and train in but honestly nothing you couldn’t get at any other store for less than half the cost and same quality.",3 out of 5,JESSRR,"CLEVELAND, OHIO",SWEATY GENERALIST,25-34,ATHLETIC,,,,2019-02-05,1,0,{}
"Wunder Under High-Rise Tight Full-On Luxtreme 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-Tight-Full-Lux/_/prod8330011?color=31382,2.9 out of 5,2,Leggings Get Looser With Every Wash,"I have been an avid wearer of wunder under high rise leggings since 2015. I bought a new pair a few weeks ago, and these leggings are no longer made like they used to be. After 3 washes, my new pair of Wunder Under's have loosened around the waist, crotch, and knees. I am constantly having to pull this pair up and always have a saggy behind. I bought the same size I have been wearing since 2015 so I am left to conclude that these are simply not made like they used to be. It's a shame this brand is still having quality assurance issues. Size 2 sizes down with these leggings if you want them to actually fit correctly.",1 out of 5,LEETAY,"HOUSTON, TX",YOGI,18-24,LEAN,,,loose fit,2019-02-04,1,0,"{'LL_response_content': 'Dear leetay,\n\nThank you for taking the time to review the Wunder Under Hi-Rise Tight *Full-On Luxtreme 28"". I’m sorry to see you’re having some trouble with your gear—that\'s definitely disappointing. We\'d love to learn more and make things right for you, so keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 5, 2019'}"
