"Wunder Under High-Rise 7/8 Tight Full-On Luon 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-78-Tight/_/prod8430902?color=0001,2.7 out of 5,1,Pilling!,"I'm so sad, I absolutely loved the fit and how the material feels and holds you in but they started to pill between the leg/thigh area after one workout of oly weightlifting! The material is way to delicate and needs major improvement!!",1 out of 5,XOXOLIZ80,"LAKE ELSINORE, CA",SWEATY GENERALIST,35-44,MUSCULAR,,fit,pilling,2019-02-08,0,0,"{'LL_response_content': 'Dear Xoxoliz80,\n\nThanks for reaching out and providing this feedback for us. I\'m sorry to hear of the pilling that you\'re experiencing on your Wunder Under Hi-Rise 7/8 Tight *Full-On Luon 25"" and can understand why you\'re not pleased. Keep your eyes peeled for an email headed your way so we can follow up and chat further.\nTalk soon!', 'LL_response_date': 'February 8, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luon 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-78-Tight/_/prod8430902?color=0001,2.7 out of 5,1,:( Upset,"I loved my new leggings at first! But now I have had only about 4 wears and the entire waist seam is starting to fall apart :( They are still the most comfortable leggings I own, but the waist seam is not so great to look at anymore :( I wish I knew how to fix this too because I spent 1/3 of my paycheck on them and really wanted them to live up to how I imagined! Love them, but extremely sad about the seaming.",2 out of 5,SULLY00,"TEMPE, AZ",YOGI,18-24,SLIM,,comfortable,falling apart,2019-02-07,0,0,"{'LL_response_content': 'Dear Sully00,\n\nThank you for taking the time to share your feedback with us. We\'re sorry to hear that your Wunder Under Hi-Rise 7/8 Tight *Full-On Luon 25"" has started to come undone at the seam and is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luon 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-78-Tight/_/prod8430902?color=0001,2.7 out of 5,1,Not as nice as I'd hoped,"I had wunder under's years ago and they fit so nicely until they started pilling, i just recently bought another pair because I thought what the heck let's give the new ones a try. I've had them for less than a month and they've already started pilling like crazy around my thigh and butt areas, I can't even imagine how these pants are going to be 6 months from now. I am very disappointed in the quality of these pants, I usually love lulu's and the other pairs I have work great but these are just not good.",2 out of 5,GLIZ,"LONG BEACH, CA",SWEATY GENERALIST,18-24,PETITE,,soft,thin pants,2019-02-06,0,0,"{'LL_response_content': 'Dear gliz,\n\nThank you for taking the time to share your feedback with us. We\'re so sorry to hear that your Wunder Under Hi-Rise 7/8 Tight *Full-On Luon 25"" has started to pill and is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luon 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-78-Tight/_/prod8430902?color=0001,2.7 out of 5,1,EXTREME PILLING!,"I’m so disappointed! I received my first pair as a Christmas gift and wanted to love this so bad for the price my friend paid, however, it started pilling in the thigh area after wearing it twice! I still went ahead and purchased another pair just because I do like the thickness of it and thought maybe I just had a bad pair the first time around! HOWEVER, my second pair is doing the same! For $100, I would hope these tights would last me a long time but unfortunately, that’s not the case!",2 out of 5,PTTT,TEXAS,,25-34,PETITE,,thickness of tights,pilling,2019-02-06,0,0,"{'LL_response_content': 'Hey PTTT,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear your Wunder Under Hi-Rise 7/8 Tight Full-On Luon 25"" is pilling. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'February 6, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luon 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-78-Tight/_/prod8430902?color=0001,2.7 out of 5,1,New favorite leggings,"""Full on Luon"" is my favorite material, and I've only ever had them in black. I was so happy to see these in another color, and they feel amazing. Nice and thick material that holds well, but still breathable. Beautiful color, and it fits perfectly everywhere. I have shorter legs so the 7/8 is almost full length for me, but I like it.
For reference, I'm 5'5"" and 130 lbs, the size 6 fit perfectly.",5 out of 5,JCRUISE,"SAN FRANCISCO, CA",RUNNER,18-24,ATHLETIC,,color,,2019-02-05,0,0,{}
"Wunder Under High-Rise 7/8 Tight Full-On Luon 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-78-Tight/_/prod8430902?color=0001,2.7 out of 5,1,Disappointed in first pair of lulu leggings,"I was so stoked when I purchased these leggings. They fit perfectly when I tried them on, but the waist band has stretched out so much that I can't work out in them anymore because I am constantly pulling them up. They started pilling after just a few weeks of owning them and are now to the point where I'm embarrassed to wear them out because they look so bad. Since then, I've bought a couple sports bras and have loved them, but this experience makes me hesitant to buy another pair of leggings.",2 out of 5,SNOWBOARDER123,,,18-24,ATHLETIC,,softness,pilling,2019-02-02,0,0,"{'LL_response_content': 'Dear snowboarder123,\n\nThank you for taking the time to share your feedback with us. I\'m sorry to hear that the Wunder Under Hi-Rise 7/8 Tight *Full-On Luon 25"" is not performing for you. Give us a call at our Guest Education Centre (1.877.263.9300) or jump on Live Chat to speak directly with an educator. We look forward to speaking with you soon!', 'LL_response_date': 'February 2, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luon 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-78-Tight/_/prod8430902?color=0001,2.7 out of 5,1,My daughter hugs her legs when she wears these,She loves them so much I find her hugging them. :),5 out of 5,STRETCHYPANTAFFICIANADO,,,,,,fit,,2019-02-01,0,0,{}
"Wunder Under High-Rise 7/8 Tight Full-On Luon 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-78-Tight/_/prod8430902?color=0001,2.7 out of 5,1,No sweat!,"Wonder Unders are my happy place. They hug in all the right places and the waist never rolls or squeezes. The Luxtreme fabric is silky on my skin and super breathable in a sweaty workout. These are my go-to pants when I know I'll sweat a lot at the gym because it doesn't show! At least in black, and I sweat a lot some days! These are super versatile, I use them for all my workouts, pilates, Hiit, weight training.",5 out of 5,LIVESINLULUS,"PORTLAND, OR",SWEATY GENERALIST,35-44,ATHLETIC,,hide sweat,,2019-02-01,0,0,{}
"Wunder Under High-Rise 7/8 Tight Full-On Luon 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-78-Tight/_/prod8430902?color=0001,2.7 out of 5,2,Disappointing,"I really wanted to like these pants. I get all of my leggings from Lululemon and have never had any issues, until now. I did love the compression these leggings offered but after only one wash they are piling so bad. I made sure not to wash them with any sweaters or towels, just other Lulu leggings. Like I said Lululemon is usually a solid bet, but these just don't match their usual quality.",3 out of 5,HL22,,,18-24,ATHLETIC,,compression,so much piling,2019-02-01,0,0,"{'LL_response_content': 'Dear HL22,\n\nThank you for taking the time to share your feedback with us. I\'m sorry to hear that the Wunder Under Hi-Rise 7/8 Tight *Full-On Luon 25"" is not performing for you. Give us a call at our Guest Education Centre (1.877.263.9300) or jump on Live Chat to speak directly with an educator. We look forward to speaking with you soon!', 'LL_response_date': 'February 2, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luon 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-HR-78-Tight/_/prod8430902?color=0001,2.7 out of 5,2,Piling I understand- But not Piling where I'm Uncomfortable.,"This is my second review to Lululemon. I've purchased many things from LuluLemon since coming to college. Love them! But I purchased this pair for my abroad trip last May. And not even a year later, they are officially retired. I can't wear them out because the inside of my legs are full of piling to the point where it makes it super itchy and annoying to wear around. I full recommend going for more Luxtreme than the Luon. It's too thick and prone to piling- can't wear to the gym. Good for staying warm outside. I'm upset because if my cotton cheap leggings can last me over a year, shouldn't my Lulu's? I'll continue to buy from LuluLemon just not these. Very sad.",2 out of 5,JMUGIRL,"HARRISONBURG, VA",SWEATY GENERALIST,18-24,ATHLETIC,,length,piling,2019-02-01,0,0,"{'LL_response_content': 'Dear jmugirl,\n\nThank you for taking the time to share your feedback with us. I\'m sorry to hear that the Wunder Under Hi-Rise 7/8 Tight *Full-On Luon 25"" is not performing for you. Give us a call at our Guest Education Centre (1.877.263.9300) or jump on Live Chat to speak directly with an educator. We look forward to speaking with you soon!', 'LL_response_date': 'February 2, 2019'}"
