"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,1,Love everything about them - expect the pilling!,"This is my third pair of Align's and I still love them to death, but I got these in the middle of January and they are already starting pilling! They are super comfy, lightweight and great for everyday use. I just wish they lasted a little longer than a month without pilling!",4 out of 5,AMANDAB0114,"LONG ISLAND, NY",RUNNER,18-24,PETITE,,size,pilling,2019-02-05,0,0,"{'LL_response_content': 'Hey AmandaB0114,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear your Align Pant Super Hi-Rise 28"" is pilling. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'February 6, 2019'}"
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,1,wanted to love....,when I found out they made the aligns in super- high rise I was super excited. I got them for Xmas and at first they were amazing then after one wear they were stretched out and started to pill. This was the first pair of lululemons I've had to pill as much and so fast. I never wear mine for hard workouts or anything involving me to sweat too much. I thought I should get them in my standard size 8 because that what I got in the align shorts *those are amazing I recommend * If you do buy I recommend sizing down just because of how much stretch they have.,2 out of 5,LAURENKELLY,WASHINGTON,YOGI,18-24,CURVY,,,they pilled too fast and run big,2019-02-01,0,1,"{'LL_response_content': 'Dear laurenkelly,\n\nThank you for taking the time to share your feedback with us. I\'m sorry to hear that the Align Pant Super Hi-Rise 28"" is not performing for you. Give us a call at our Guest Education Centre (1.877.263.9300) or jump on Live Chat to speak directly with an educator. We look forward to speaking with you soon!', 'LL_response_date': 'February 2, 2019'}"
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,1,Regular Aligns Are Better,"I was really excited to get these in the mail because I love my regular Align leggings (black, 28"", standard/original, size 6) and I loved the idea of Align leggings with an even higher waistband as I am a big fan of high-waisted anything. The leggings don't have any issues with them but I do not love them they way I love my regular Aligns because the material on the Super High Rise feels different - for whatever reason it is not as soft so they are less comfy which is the appeal of Aligns and more just like a normal pair of leggings.",3 out of 5,NSD331,"ATLANTA, GA",SWEATY GENERALIST,25-34,CURVY,,,,2019-02-01,1,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,1,Finally Ran into the lulullemon pilling...,"I've been purchasing lululemon for the past couple of years in college. I know a lot of people have had many problems with these leggings being known for pilling. I've never really run into problems- it doesnt happen if you cold wash your leggings with just a small load of your ""athletic type"" leggings and hang them up to air dry overnight. I got these for christmas and was so excited because I loved the color. It's not even the end of January and I was wearing these to the gym and my boyfriend pointed out how I had awful fabric coming off all over the one side of my butt. Sure enough, pilling. AFTER LESS THAN A MONTH OF WEARNG THEM! Breaks my heart. SO disappointed. Recommend: Luxtreme > Align.",2 out of 5,JMUGIRL,"HARRISONBURG, VA",SWEATY GENERALIST,18-24,ATHLETIC,,color,piling,2019-01-29,2,0,"{'LL_response_content': ""Hey jmugirl,\n\nThanks for taking the time to share your feedback with us. I'm sorry to hear your Align Pant Super Hir Rise is pilling. We stand behind our gear and we'd love to get in touch. Keep an eye out for an email coming your way. Chat Soon!"", 'LL_response_date': 'January 29, 2019'}"
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,1,Never want to take them off!,"Love these pants!! Hug your body in all the right places, super soft and smooth, and great for all activity:)! Thanks Lulu!",5 out of 5,AWAY17,LOS ANGELES,CYCLIST,25-34,MUSCULAR,,,,2019-01-27,1,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,1,All day comfort,"I love my super high rise tights! I’m in workout clothes all day to coach and train, and I’m always comfortable and stylish.
Please offer more super high rise!",5 out of 5,CROSSFITNANA,OHIO,SWEATY GENERALIST,55-65,ATHLETIC,,fit and fabric,,2019-01-27,0,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,1,huge let down,"I absolutely love how soft align pants are, i have a bunch...however i am incredibly let down by this pair. I have washed them ONE time, hand wash, and let them air dry, yet the entire back of the legs are pilling! not even the inner thighs like you'd expect.
sad because i hoped to get a lot of use out of the plain black pair.",2 out of 5,ALANNAPW,,,,,,,,2019-01-25,0,0,"{'LL_response_content': 'Dear Alannapw,\n\nThank you for taking the time to share your feedback with us. I\'m sorry to hear that the Align Pant Super Hi-Rise 28"" is pilling. Give us a call at our Guest Education Centre (1.877.263.9300) or jump on Live Chat to speak directly with an educator. We look forward to speaking with you soon!', 'LL_response_date': 'January 26, 2019'}"
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,1,Love the extra COVERAGE,Aligns are forever my first love at Lululemon!! Just wish they would come out with black for the super high waisted pant.,4 out of 5,MRDP,"LONG BEACH, CA",SWEATY GENERALIST,18-24,CURVY,,super high waist band,no black color option,2019-01-22,5,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,Bummer,"I bought these pants almost 7 months ago but immediately they started to pill and get runs, even after careful attention to the washing instructions. But, I loved them so much, as they are truly so comfy, good looking, and soft, so I just lived with the piling and the runs. But now holes are starting to appear in the thigh area on the seams, so I cant wear them anymore. Is there any way to replace or fix them?",2 out of 5,SMITHY123,"SLC, UTAH",SWEATY GENERALIST,UNDER 18,ATHLETIC,,really comfy,pilling,2019-01-22,0,0,"{'LL_response_content': 'Dear smithy123,\n\nThank you for taking the time to review the Align Pant Super Hi-Rise 28"". We stand behind the quality of our product, and we want to ensure that you\'re in gear that is performing well for you. I hear that this is not the case and would like to work with you to create a resolution. We\'ll be following up via email to discuss this further. Chat soon!', 'LL_response_date': 'January 23, 2019'}"
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,Align leggings,"I bought the these size 6 leggings in Nov. (about 3 months ago). While the leggings are very comfortable, the fabric in between the thighs began to pill within the first 3 wears and has gotten progressively worse. I do not wash these leggings often and do not workout in them due to the sensitivity of the fabric. Even after strictly following the washing instructions, the pilling continues to get worse. I enjoy wearing them because the fabric is so soft but I am disappointed that I paid almost 100 for leggings that are supposed to be made with high quality fabric. I understand that fabric eventually wears but pilling should not happen after the first 3 wears. I have leggings that are 3 years old that I paid 20 dollars for that have not pilled like this. If I take them into a store, will they be able to fix or replace these?",2 out of 5,EMMA1216,,,,,,comfortable,immediate pilling in between the thighs,2019-01-22,0,0,"{'LL_response_content': 'Dear Emma1216,\n\nThank you for taking the time to share your feedback with us. I\'m sorry to hear that the Align Pant 28"" is not performing for you. Give us a call at our Guest Education Centre (1.877.263.9300) or jump on Live Chat to speak directly with an educator. We look forward to speaking with you soon!', 'LL_response_date': 'January 22, 2019'}"
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,Amazing pants,"These are amazing pants! I have a long torso so a lot of ""high waisted"" items aren't on me, but these are perfect. They don't slip and feel super amazing and soft. The only reason I have a complaint is I've noticed slight pilling on the upper thighs which is slightly annoying, but this is the only place this occurs. Other than that, these are AMAZING.",4 out of 5,CARLYF,,,,,,,,2019-01-19,1,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,Love the high rise,Love the high rise on this pant but the inseam is too much for short girls and end up bunched at the bottom.,4 out of 5,TEDDY1990,WISCONSIN,SWEATY GENERALIST,25-34,PETITE,,high rise,too long,2019-01-18,0,0,"{'LL_response_content': 'Hey Teddy1990,\n\nThanks for taking the time to share your feedback with us. It sounds like your Align Pant Super Hi-Rise 28"" is not providing the right fit. We stand behind our gear and want to make this right. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'January 19, 2019'}"
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,new to luluemon,"Well I am new to this little world, but I will have to say there leggins are very nice. The only thing is I wish they were a little more supportive. You really cant do wall balls in them and I wished they stayed up better. Maybe I bought the wrong ones. They are so soft and comfy I will keep them and just have to save for the next pair.",4 out of 5,MISTYB,"HARTLAND, MI",SWEATY GENERALIST,35-44,CURVY,,the feel,won't stay put,2019-01-18,0,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,Perfect for maternity,"I already owned 3 pairs of the regular align leggings and love them, but now at 6 months pregnant I wanted a little extra support and these provided that! I do laundry twice a week just so I can wear these more. They feel amazing.",5 out of 5,LULULINDSEY227,"SAN DIEGO, CA",,25-34,ATHLETIC,,high waist feature,,2019-01-17,0,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,not as good as you would think,"After wearing them for about a week in my workouts, the fabric around the knee started to wear a bit. Then, it turned into a hole which was very disappointing as they are known to be durable and last a long time. When I exercise, I haven't tripped or slid against the floor and it's very frustrating that they just broke when I've only been wearing them for less than a month. Everyone knows that these don't come cheap and I spent a long time saving up before I could get these. On top of the so so quality, my leggings are starting to pill and I am really bummed out. Most likely will not get anything from here again.",3 out of 5,OVERHYPED,,,,,,,,2019-01-16,0,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,"Great pants, size down","These pants really are amazing! Quality is good, the color is perfect. But unfortunately I should have sized down and I took the tags off already and cannot exchange. I really can only wear them lounging around the house because they slide down during workouts. If I could exchange for a smaller size they would be perfect! So, I would recommend sizing down!",4 out of 5,CORAFURTADO,SACRAMENTO,SWEATY GENERALIST,25-34,ATHLETIC,,color,slide down,2019-01-15,1,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,Soo Comfortable,"Love the super high rise waist and the fact that the top of the waistband has NO elastic band. So many do, and they pinch. The fabric has a silky feel - very nice. Light compression.Yum. Have tried them on, but not worn them out yet. Wish lululemon would offer more super high rise, soft fabric, soft compression styles.",5 out of 5,KATES2,NORTH CAROLINA,,OVER 65,,,super soft super high rise waist.,out of stock online now.,2019-01-11,3,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,too good to be true,"I loved these pants! bought them in the incognito camo at first, wore them once and decided I needed more! After getting many lulu gift cards at christmas gifts, I had my eye set on these. I only wear lulu. upon first wearing thees like said before, I was in love. Now, I have worn the camo a couple of times, the black once and the melanite once. the black specifically have awful pilling as well as the melanite even after just wearing them once and not washing at all huge disappointment. I loved them at first. Still want to love them but have a hard time. I only wear lulu and these have the fit just perfect but the material is not what I would like to see",3 out of 5,LEYLALIFTS,"SOUTH JORDAN, UT",SWEATY GENERALIST,18-24,MUSCULAR,,fit was amazing!,material,2019-01-10,0,0,"{'LL_response_content': ""Dear leylalifts,\n\nThank you for taking the time to share your feedback with us. I'm sorry to hear that the Align Pant is not performing for you. Keep an eye out for an email coming your way. Chat soon!"", 'LL_response_date': 'January 11, 2019'}"
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,Gift for 17 year old Daughter,"She's wanted Lulu's for over a year so I bought these as a Christmas gift. So far she's very happy with them. She's 5'5"" and 105 lbs. so of course they look fabulous on her. She uses them for CrossFit and school.",5 out of 5,GOODCARMA,NEVADA,SWEATY GENERALIST,45-54,CURVY,,,,2019-01-10,0,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,Pilling,"I love these so much, the fabric, fit.. everything but the pilling. I have 2 pairs and both have started pilling. Very dissapointing.",4 out of 5,BHAMGIRL,"BIRMINGHAM, ALABAMA",RUNNER,UNDER 18,ATHLETIC,,,,2019-01-10,0,0,"{'LL_response_content': ""Dear bhamgirl,\n\nThank you for taking the time to share your feedback with us. I'm sorry to hear that the Align Pant Super Hi-Rise is not performing for you. Keep an eye out for an email coming your way. Chat soon!"", 'LL_response_date': 'January 11, 2019'}"
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,Love love love,Loveee these pants so comfy and soft,5 out of 5,SHHHEBA,FLORIDA,YOGI,25-34,SLIM,,,,2019-01-10,0,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,Love the fit that keeps me warm all the time,This is my first pair of lulu leggings and I’m totally impressed by the fit and fabric. Love the high rise fit that keeps me warm all the time.,5 out of 5,BOSXLI,"BOSTON, MA",YOGI,25-34,ATHLETIC,,,,2019-01-10,0,0,{}
"Align Pant Super High-Rise Online Only 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Super-Hi-Rise-28/_/prod9200552?color=36763,3.9 out of 5,2,Great pants,These are great pants-for everyday or workout,5 out of 5,JENNIFE,MARYLAND,SWEATY GENERALIST,45-54,SLIM,,,,2019-01-10,0,0,{}
