"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,1,Too tight,Dissatisfied— too tight and thin! Not at all soft,2 out of 5,TAMMY5,,,,,,color,fit,2019-02-02,0,0,"{'LL_response_content': 'Dear Tammy5,\n\nThanks for taking the time to share your thoughts on the Wunder Under Hi-Rise Tight (Ombre Melange) *Full-On Luon 31"". I completely understand why you\'re disappointed with this and I\'d love to help turn this around. Please give us a ring at 1.877.263.9300 so we can make things right. Chat with you soon.', 'LL_response_date': 'February 2, 2019'}"
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,1,Nice tights but still revealing,"Loved the design and color when I saw these. So few white tights available that are attractive and comfortable. Unfortunately, despite the color design, I felt that the tights are still a bit revealing in the groin area.",3 out of 5,NCS1718,NJ,SWEATY GENERALIST,45-54,ATHLETIC,snug,,,2019-01-19,0,0,"{'LL_response_content': 'Hey NCS1718,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear your Wunder Under Hi-Rise Tight (Ombre Melange) Full-On Luon 31"" is revealing. We stand behind our gear and we\'d love to get in touch. Give us a call at our Guest Education Centre (1.877.263.9300) or jump on Live Chat to speak directly with an educator. We look forward to speaking with you soon!', 'LL_response_date': 'January 19, 2019'}"
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,1,Split at knee,"I'm a HUGE wunder under lover and couldn't wait to open these on Christmas. I wore these three times - yoga, spin, and rowing. In the middle of my rowing class the knees started to seem a little pulled and then suddenly split open on both sides. I have several pairs of Wunder Unders - all in the same size - and I've never had an issue like this before. The fabric is poorly made and waaaay too thin. I wouldn't buy these again.",1 out of 5,MOVERANDSHAKER1,"NEW YORK, NY",SWEATY GENERALIST,25-34,PETITE,,color,fabric,2019-01-11,1,0,"{'LL_response_content': ""Dear moverANDshaker1,\n\nThank you for taking the time to share your feedback with us. I'm sorry to hear that the Wunder Under Hi-Rise Tight is not performing for you. Keep an eye out for an email coming your way. Chat soon!"", 'LL_response_date': 'January 11, 2019'}"
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,1,"The fabric feels unusual, but I like it enough","This is a review for the Gray to White Ombre Melange legging.
For reference, I am 5'5"" and 130lbs. I typically purchase my WU's in size 6, my Aligns in size 4, and all tops in size 8.
To start off, I hate Luxtreme. I hate spandex. They do not compliment mostly anyone, and they create the worst cameltoes. That is why I purchase Luon fabric, because the cotton blend they make does not lose give after a period of time (depending on how good it's made). Each luxtreme item I've eventually had to adjust and pull up every 5 minutes by simply walking. Each Luon I rarely have to. Aligns, we already know they're perfect aside from the annoying fragility.
So my review for these leggings would be 3.5/5. I cannot stand that Lululemon makes changes to their fabric without any sort of disclosure to their customers. This is advertised as Full-On Luon, but it absolutely not. It doesn't feel like ANY WU pant I have ever owned. It's not soft, it's rough - it's not matte, it's sheer - it doesnt morph, it squeezes. It's the kind where you can't stretch it, if you pull it up - bam, camel toe.
This isn't to say it's a BAD thing. I'm obsessed with the slate gray to white ombre pattern. I think they're very complimenting in a way where they squeeze you in more than usual. I wear these on my heavy squatting days because they offer compression - but my beef with that is: it isn't advertised to it's customers who are expecting a regular Luon cottony- WU pant and instead get a firm, lack of stretchiness, rough pair.",4 out of 5,STEPHLIKESLULULEMON,"WASHINGTON, USA",SWEATY GENERALIST,25-34,ATHLETIC,tight,pattern,tight,2019-01-05,7,0,{}
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,1,Wanted to love,I had owned previous wunder unders so I purchased these because I thought the pattern was unique. I loved my other leggings so I expected these to be the same but I was wrong. These pants are extremely long ( not like the original wonder unders) so when I tried getting them hemmed they were lose at the ankle (I'm 5'6). Also after only a few wears they began falling down as I walked and didn't remain tight. These pants are not what I wanted or expected. I was unhappy with this purchase especially for the money spent.,2 out of 5,KYOGA42,MASSACHUSETTS,RUNNER,18-24,MUSCULAR,oversized,pattern,fit,2018-12-28,1,0,"{'LL_response_content': 'Dear kyoga42,\n\nThank you for taking the time to review the Wunder Under Hi-Rise Tight (Ombre Melange) *Full-On Luon 31"". We want you to know, feedback is at the heart of everything we do and we\'d love to make this experience right for you. Keep your eyes peeled for an email headed your way so we can follow up and chat further.\nTalk soon!', 'LL_response_date': 'December 29, 2018'}"
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,1,I wanted to love these,"This was my first try of a lululemon product. I loved the color and wanted a legging for walking and hiking and just wearing around. The first night I took a jog in them, I had to stop every half block or so to pull them up as the waist does not stay up. They are fine for wearing in the house, but unfortunately for this price I won't be trying them again.",2 out of 5,ROBGEO,"PHOENIX, AZ",SWEATY GENERALIST,45-54,CURVY,tight,color and fabric,how the waist does not stay up,2018-12-20,3,1,{}
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,1,DO NOT BUY,I saw this and thought that is perfect for me! I went to lululemon and got it. I wore these one time and every time I leaned over they rolled down. I was constantly pulling them up. When I took them off I had red marks going all around my bottom leg near my ankle from them being tight around the ankle. I would never recommend this item.,1 out of 5,SOGAL,MEDIUM BUILD,SWEATY GENERALIST,25-34,ATHLETIC,snug,the color,too tight around ankle,2018-12-12,3,0,"{'LL_response_content': 'Hey sogal,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear your Wunder Under Hi-Rise Tight (Ombre Melange) Full-On Luon 31"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'December 15, 2018'}"
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,1,Beautiful,Sometimes white can be scary. These are the most beautiful and soft leggings. I highly recommend these if you are looking for something different. You will not be disappointed.,5 out of 5,AJ0523,"WHITE LAKE, MI",DANCER,35-44,SLIM,,,,2018-12-07,1,0,{}
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,2,Sucking It All In,"I originally ordered a 10 in these (I normally wear an 8 in Lulu) - because all of the reviews said to size up on Wunder Unders. I put them on for a quick jog with my husband and the waist and booty immediately felt like they were slipping down when I started moving....not ideal. I took them back and swapped out for an 8 and they are definitely tight but they suck it all together so that nothing moves on my run. Takes me a second to get them on just because of how tight they are, but feel like a second skin once they are in place! Love these leggings and now I know to stick with my regular Lulu size.",5 out of 5,EXDANCERTURNEDCROSSFITTER,"VIRGINIA BEACH, VA",SWEATY GENERALIST,25-34,CURVY,second skin,fit,no hidden pocket in the back,2018-11-28,4,0,{}
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,2,"Super comfortable, held in, yoga pants","I love these pants because white pants are so difficult to pull off. However, since it has this nice grey to white ombre pattern, it makes it a lot more aesthetically pleasing (aka, doesn't make me look as fat as most white yoga pants do haha...). It also fits extremely well and is a dream to do yoga in. High waisted top stays put and I definitely feel well supported.",5 out of 5,MIDWESTCALIYOGINI,MICHIGAN,YOGI,25-34,CURVY,snug,fit,,2018-11-27,0,0,{}
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,2,So disappointed,"I was so excited to get these and have another pair of pants for my Barre and Pound classes, but they were excessively tight that I could barely get them over my ankles. I am still looking for another pair in the Wunderunder, but they are sold out in my size. :(",1 out of 5,BARREISTAMOMEISTA,"BOSTON, MA",YOGI,35-44,ATHLETIC,,,,2018-11-11,0,0,"{'LL_response_content': ""Dear BarreistaMomeista,\n\nThank you for taking the time to share your feedback with us. I'm super sorry to hear that your Wunder Under's didn't work out for you. Keep an eye out for an email coming your way. Chat soon!"", 'LL_response_date': 'November 11, 2018'}"
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,2,Awesome fit,Great product. Fits well and the fabric feels great,5 out of 5,SEALER,,,,,,,,2018-10-29,0,0,"{'LL_response_content': ""Dear Charliesgirl,\n\nWe're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you."", 'LL_response_date': 'January 6, 2019'}"
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,2,Life Changing Lifting Leggings,"These leggings make my legs look slim and I am super comfortable lounging around in them or wearing them to the gym. I got the lighter wash, and they are my new favorite pair of leggings! They hold their stretch so I can wear them twice and have no sagging. IN LOVE with my purchase.",5 out of 5,LULULOVER1850,"APPLETON, WI",SWEATY GENERALIST,18-24,ATHLETIC,tight,,,2018-10-22,0,0,{}
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,2,Eh,Bought these last year and liked the color. I find myself only wearing these pants when all of my other leggings are dirty. I do cross-training and I find that these are stiff and somewhat uncomfortable to be doing high intensity workouts or walking for a while. On the bright side when you're really sweaty it dries pretty quickly.,3 out of 5,THEADVERAGEGIRLLOL,"TAMPA, FL, USA",SWEATY GENERALIST,18-24,MUSCULAR,,,,2018-10-16,0,0,"{'LL_response_content': 'Dear theadveragegirllol,\n\nThanks for reaching out and providing this feedback for us. I\'m sorry to hear the Wunder Under Hi-Rise Tight (Ombre Melange) *Full-On Luon 31"" is causing some discomfort. Keep your eyes peeled for an email headed your way so we can follow up and chat further.\nTalk soon!', 'LL_response_date': 'October 18, 2018'}"
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,2,Love them,Perfect for running. Fit tight and compressed. Super sweat wicking. I am a size 8 in Wunder Unders & this pair was more compressed than others I have. But worked perfect. Hid all my little dimples too! Definitely not see through. Has less stretch than other Wunder Unders.,5 out of 5,LULU21LOPEZ,"YUMA, AZ",RUNNER,25-34,MUSCULAR,tight,color,,2018-10-06,1,0,{}
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,2,quality issues,"they are see threw :( want to love them the pattern was perfect until someone told me that my pants were too see thew,",1 out of 5,CHELITA1999,"ONTARIO, CANADA",SWEATY GENERALIST,35-44,ATHLETIC,,,,2018-09-10,0,0,"{'LL_response_content': ""Hi chelita1999,\nThanks for taking the time to connect with us. We want you to know, feedback is at the heart of everything we do, and we'd love to make this experience right for you. We have sent you an email outlining a few options. Chat soon!"", 'LL_response_date': 'September 11, 2018'}"
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,2,SUPER Bummed,"I was so excited to buy these for hiking on vacation!! I thought the ombre design was super cute but upon reading the reviews I saw the fit was tight. I wear a 6 in every lulu pant, but I still took the time to go into the store to try on a similar pant to make sure I ordered the right size. The lady who helped me reassured me it would be the same fit. I got the pants in the mail and threw them in the wash and when I pulled them out of my suitcase they didn't fit :( Im super bummed I invested in these, and I cant wear them comfortably at all. I definitely recommend sizing up!!",2 out of 5,COLDBREWYOGI,"ORANGE COUNTY, CA, USA",YOGI,18-24,ATHLETIC,second skin,design,too tight,2018-09-10,0,0,"{'LL_response_content': ""Hi coldbrewyogi,\nThanks for reaching out and providing this feedback for us. I'm sorry to hear you're having such trouble with your pants! I'd love to chat with you further about this and find a resolution. Check your inbox for an email headed your way."", 'LL_response_date': 'September 10, 2018'}"
"Wunder Under High-Rise Tight (Ombre Melange) Full-On Luon 28""",https://shop.lululemon.com/p/women-pants/Wunder-Under-Hi-Rise-Tight-Ombre-fluon/_/prod8780576?color=32739,2.9 out of 5,2,see threw,"This is the 3rd pair I have tried, they are see threw! im tired of having to mail them back as the only Lulu lemon is 3 hrs away! i'm not a big girl but i'm not the skinniest i'm usually a size 8 and even the size 10 is see threw!",1 out of 5,CATINA,,,,,,,,2018-09-02,0,0,"{'LL_response_content': ""Hi Catina,\nThanks for taking the time to connect with us. Oh no! I'm sorry to hear that the sizing didn't work out for you. We'd love to help you find a fix, so we've sent an email your way with some solutions. Chat soon!"", 'LL_response_date': 'September 3, 2018'}"
