Toasty Tech Tight II,https://shop.lululemon.com/p/women-pants/Toasty-Tech-Tight-II-MD/_/prod9270052?color=35702,3.2 out of 5,1,Not nearly as good as original Toasty Tech Tights,"The pair of Toasty Techs I have from 3 years ago are excellent cold weather tights. So good, in fact, I haven't bothered to purchase any other iterations of this tight because they simply can't live up. The original Toasty Techs are made out of super stretchy, butter soft fabric and the fit is snug, but not too tight so as to be too constrictive (not good in cold weather). The Toasty Tech II on the other hand is made out of a fabric that is far less stretchy and not nearly as soft. Also the fit and construction are very sub-par. The overall fit is too tight (I'm 5'2"", 110) - my usual size 2 is difficult to get on, partially because the seams are bulky and WAY too tight. Also the quilting on leg is different - the original pockets sit flush with your leg - these puff out where the stitching is quilted - not a cute look on your thighs! Please bring back the original Toasty Techs!",2 out of 5,LOVEYOUDEAD138,"SAINT LOUIS, MO, USA",YOGI,25-34,PETITE,second skin,,,2019-01-05,52,1,"{'LL_response_content': 'Dear loveyoudead138,\n\nThank you for taking the time to share your feedback with us. I\'m sorry to hear that the Toasty Tech Tights are not performing for you. Keep an eye out for an email coming your way. Chat soon!""', 'LL_response_date': 'January 5, 2019'}"
Toasty Tech Tight II,https://shop.lululemon.com/p/women-pants/Toasty-Tech-Tight-II-MD/_/prod9270052?color=35702,3.2 out of 5,1,Pleased,First purchase based on a recommendation,5 out of 5,ANONYMOUS,,,45-54,ATHLETIC,,,,2019-02-08,0,0,{}
Toasty Tech Tight II,https://shop.lululemon.com/p/women-pants/Toasty-Tech-Tight-II-MD/_/prod9270052?color=35702,3.2 out of 5,1,Awkward lines and bad fit,"I wanted to love these. I purchased them to replace some cold-weather leggings I bought a few years back. I will say, the thickness is nice, but there were too many other flaws for me to love these. 1) The fit. The waist is loose and even when toggled, it rides down. 2) The cut. The pockets' zippers are lined with reflective design and the zipper + reflective stuff makes for a puckered zipper area when zipped. In addition, the quilted design does not have stretch to the thread, so the first time I wore these, I squatted down and the threads ripped on the quilted area. 3) The design. The quilted area is on the part of the outer thigh that can have cellulite, so it's not exactly the right spot to add texture to. Beware of a dimpled look. -- All around, I'm super disappointed. Save your money for something better.",1 out of 5,WEEBEE,"SEATTLE, WA, USA",SWEATY GENERALIST,25-34,CURVY,,warmth,design,2019-02-07,0,0,"{'LL_response_content': ""Dear weebee,\n\nThank you for taking the time to review the Toasty Tech Tight II. We want you to know, feedback is at the heart of everything we do, and we'd love to make this experience right for you. Keep your eyes peeled for an email headed your way so we can follow up and chat further.\nTalk soon!"", 'LL_response_date': 'February 8, 2019'}"
Toasty Tech Tight II,https://shop.lululemon.com/p/women-pants/Toasty-Tech-Tight-II-MD/_/prod9270052?color=35702,3.2 out of 5,1,Could have been a B- but one wash and it's a D,"While the pants are warm enough the fabric is a bit stiff. They look ok, but the stitching is coming undone after the first wash!! I'm really hoping I don't have to take these to the seamstress and spend more money.",1 out of 5,JAYCEEAUSTIN,NORCAL,YOGI,35-44,ATHLETIC,,,,2019-02-07,0,0,"{'LL_response_content': ""Dear jayceeaustin,\n\nThank you for taking the time to review the Toasty Tech Tight II. We want you to know, feedback is at the heart of everything we do, and we'd love to make this experience right for you. To carry on this conversation, we've sent you a follow up email. Chat soon!"", 'LL_response_date': 'February 8, 2019'}"
Toasty Tech Tight II,https://shop.lululemon.com/p/women-pants/Toasty-Tech-Tight-II-MD/_/prod9270052?color=35702,3.2 out of 5,1,Wanted to love but super sad,I read the reviews on these pants because they are final sale. I thought they were going to fit me like any other and they're extremely tight. I could barely get them on. I normally wear a 10 but they were extremely tight on me. It's super sad because they are final sale and there is nothing I can do abut it now.,2 out of 5,LULULOVA97,"VERMILLION, SD",SWEATY GENERALIST,18-24,CURVY,tight,they were really cute but they just didn't fit me,way too tight,2019-02-07,0,0,"{'LL_response_content': ""Dear Lululova97,\n\nThank you for taking the time to review the Toasty Tech Tight II. We want you to know, feedback is at the heart of everything we do and we'd love to make this experience right for you. Keep your eyes peeled for an email headed your way so we can follow up and chat further.\nTalk soon!"", 'LL_response_date': 'February 8, 2019'}"
Toasty Tech Tight II,https://shop.lululemon.com/p/women-pants/Toasty-Tech-Tight-II-MD/_/prod9270052?color=35702,3.2 out of 5,1,Disappointed by fit,Bought these tights online to wear for outdoor activities in Canadian winters - but as soon as I put them on I noticed they didn't fit like the rest of my lulu leggings. The stitching on the sides makes the material inflexible. They are quire unflattering. Wish I could return but I purchased on sale :(,2 out of 5,TORONTOOUTSIDE,"TORONTO, ON",SWEATY GENERALIST,25-34,ATHLETIC,tight,,fit,2019-02-07,0,0,"{'LL_response_content': ""Dear TorontoOutside,\n\nThank you for taking the time to share your feedback with us. We're sorry to hear that your Toasty Tech Tight II is not performing for you. We stand behind our gear and we'd love to get in touch. Keep an eye out for an email coming your way. Chat soon!"", 'LL_response_date': 'February 7, 2019'}"
Toasty Tech Tight II,https://shop.lululemon.com/p/women-pants/Toasty-Tech-Tight-II-MD/_/prod9270052?color=35702,3.2 out of 5,1,Great for cold days,"I really liked these tights for cold weather outdoor activities. Soft fleece on the inside. The outside fabric is a bit delicate and prone to snags. I am 5-5 and had these hemmed to 25"" at my local LLL and they are great. I usually wear a 4 or 6 and went with the 6 as they don't really stretch.",5 out of 5,LIZSKI617,"BOSTON, MA",SWEATY GENERALIST,35-44,ATHLETIC,tight,pockets,,2019-02-07,0,0,{}
Toasty Tech Tight II,https://shop.lululemon.com/p/women-pants/Toasty-Tech-Tight-II-MD/_/prod9270052?color=35702,3.2 out of 5,1,Absolutely Disappointing,"I ordered these pants online on final sale (big mistake). Turns out they're not stretchy like the rest of my lulu lemon pants and they literally do not go past my hips. I wish I knew that these pants had virtually no stretch because now I'm stuck with a pair of pants that I can't return or wear. I also noticed the tag says ""final sale"" at $69 while I paid $89. What a rip off.",1 out of 5,PG25,SAN FRANCISCO,SWEATY GENERALIST,25-34,ATHLETIC,second skin,,too tight,2019-02-06,0,0,"{'LL_response_content': ""Dear PG25,\n\nThank you for taking the time to share your feedback with us. We're so sorry to hear that your Toasty Tech Tight II is not performing for you. We stand behind our gear and we'd love to get in touch. Keep an eye out for an email coming your way. Chat soon!"", 'LL_response_date': 'February 7, 2019'}"
Toasty Tech Tight II,https://shop.lululemon.com/p/women-pants/Toasty-Tech-Tight-II-MD/_/prod9270052?color=35702,3.2 out of 5,2,Toasty on runs,"These leggings will keep you warmer than the others for cold runs. The only reason I can't give it 5 stars is that for it being called a toasty tech tight I expect to be able to fit my phone in the leg pocket, but I can't (I have an iPhone 8 Plus but even my fiancé's 6s won't fit)",4 out of 5,LOLODN,"HOUSTON, TEXAS",SWEATY GENERALIST,25-34,ATHLETIC,snug,material,size of pocket,2019-02-06,0,0,{}
Toasty Tech Tight II,https://shop.lululemon.com/p/women-pants/Toasty-Tech-Tight-II-MD/_/prod9270052?color=35702,3.2 out of 5,2,Sweat Marks,"I wish I would've read the reviews before purchasing! I'm currently training for my first marathon and living in PA, I was hoping to find a good pair of running tights that keep me warm through cold weather runs. I recently found I was buying a size too big in Lululemon tights-I have a big butt but the waist would always fall so I sized down with this style. They pretty much stayed up the entire run but are definitely tighter on my thighs compared to other leggings because of the quilting. The biggest issue I had with these is the crotch sweat mark! The girl at the store told me it shouldn't be an issue but it still happened and having to run 10+ miles around town I was super self conscious the whole time to the point that I don't know if I will wear them again. Its disappointing considering the cost. I've always felt great in my Lululemon tights but I can't have that mark messing with my running vibe when I'm trying to focus.",1 out of 5,ABNOWRUNS,PENNSYLVANIA,SWEATY GENERALIST,25-34,ATHLETIC,tight,pockets,sweat marks,2019-02-06,0,0,"{'LL_response_content': ""Hey ABnowruns,\n\nThanks for taking the time to share your feedback with us. I'm sorry to hear your Toasty Tech Tight II is not performing for your sweaty pursuits. We stand behind our gear and we'd love to get in touch. Keep an eye out for an email coming your way. Chat Soon!"", 'LL_response_date': 'February 6, 2019'}"
