"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,1,Amazing,I gave these pants as a gift to my girlfriend and she cannot stop raving about how comfortable these pants are. She loves them and waters them to just about any occasion! They are amazing!,5 out of 5,JRAD1998,UTAB,SWEATY GENERALIST,18-24,ATHLETIC,just right,my girlfriend loved how softer they were!,,2019-01-08,32,12,{}
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,1,A+ Align pant!,"Just as awesome as the Align, only longer! Great for barre!!",5 out of 5,GIDGET09,"SYRACUSE, NY",SWEATY GENERALIST,55-65,LEAN,,comfort,,2019-01-08,8,3,{}
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,1,PILLING,"Love the fit and feel of these pants, but the pilling is outrageous. The legs and especially the crotch are completely pilled, even after only washing as recommended, and hanging to dry. Disappointed as they were expensive and basically unwearable now.",1 out of 5,AUSSIE17,"VANCOUVER, BC",,,,snug,fit,quality,2019-01-05,56,6,"{'LL_response_content': ""Dear RJ22,\n\nWe're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you."", 'LL_response_date': 'January 13, 2019'}"
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,1,LOVE but pilled,"HUGE fan of the align pant- have 5 pairs of them, and never any problems. This pair, however, started pilling on the backside after just a few wears.",4 out of 5,HMW92,"MISSOURI, USA",YOGI,18-24,ATHLETIC,snug,,,2019-02-08,0,0,"{'LL_response_content': 'Dear Hmw92,\n\nThank you for taking the time to review the Align Pant *Full Length 28"". We\'re sorry to read of your recent experience and would love to discuss this further. To carry on this conversation, we\'ve sent you a follow up email. Chat soon!', 'LL_response_date': 'February 8, 2019'}"
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,1,Loose,"These are really nice and soft. However, they are a bit loose so I would size down one number. They fit fine while I was trying them on in store but after wearing them for a day, the leggings, especially the waistband, would slide down and i would have to pull them back up. If I hadn't removed the tags, I would exchange them for a smaller size.",3 out of 5,ANONYMOUS,LOS ANGELES,DANCER,18-24,,roomy,soft fabric,falls down,2019-02-08,0,0,"{'LL_response_content': 'Dear hudancer,\n\nThank you for taking the time to review the Align Pant *Full Length 28"". We\'re sorry to read of your recent experience and would love to discuss this further. To carry on this conversation, we\'ve sent you a follow up email. Chat soon!', 'LL_response_date': 'February 8, 2019'}"
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,1,Great for yoga,"Really soft material, fit great and is very comfortable for yoga and just all day wear. Breathable material so I wear them for my five mile runs too.",5 out of 5,RUNSMILEQUTE,CALIFORNIA,RUNNER,25-34,LEAN,,material,,2019-02-08,0,0,{}
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,1,"Just purchased, but...","I have never ever tried such soft, stretchy fantastic leggins, wow! ALL of my leggins are priced 100$ plus, but those are exteremely special and soft, never had anything like this.
I probably would have to write another review in a month or two after extensive wearing, to see if they would pill from washing. So far - I absolutely LOVE them. If they survive one year I'll be happy to repurchase those:)",5 out of 5,ANNAH,SWITZERLAND,SWEATY GENERALIST,35-44,LEAN,,softness,,2019-02-07,0,0,{}
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,1,Super long,I only buy these when they have a color I really want that's not available in the 7/8 length. They are super long which I don't mind. I'm 5'5. Super flattering and soft.,4 out of 5,MEQUINTERO,"CALIFORNIA, USA",SWEATY GENERALIST,25-34,CURVY,roomy,comfy,,2019-02-07,0,0,{}
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,2,Disappointed,"After hearing all the hype about this leggings I finally decided to pay this much.
After 3 washes the fabric started to roll up already !",2 out of 5,ALINAG,LOS ANGELES,SWEATY GENERALIST,35-44,ATHLETIC,,fit,low quality,2019-02-07,0,0,"{'LL_response_content': 'Dear AlinaG,\n\nThank you for taking the time to review the Align Pant *Full Length 28"". We\'re sorry to read of your recent experience and would love to discuss this further. To carry on this conversation, we\'ve sent you a follow up email. Chat soon!', 'LL_response_date': 'February 8, 2019'}"
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,2,Sad about the pilling,"I love these but it's crazy how much pilling occurs. I would think for the price they would be better but no, what makes me more upset is that from removing the pilling they ripped from the thigh area!!!! I'm beyond upset I can't use them anymore 96 dollars for nothing !!!",2 out of 5,IVEXO,SAN FRANCISCO CA,RUNNER,25-34,PETITE,just right,,,2019-02-07,1,0,"{'LL_response_content': 'Dear lveXO,\n\nThank you for taking the time to share your feedback with us. We\'re sorry to hear that your Align Pant *Full Length 28"" has started to pill and is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,2,buttery soft,"I love these leggings! I had to size down (i’m usually a 6, ordered a 4) and I love love love how they fit. I am very happy with the feel and look of these leggings.",5 out of 5,LIZH529,"ANN ARBOR, MICHIGAN",SWEATY GENERALIST,18-24,LEAN,,material,length (too long...and i’m 6’1”),2019-02-07,0,0,{}
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,2,Obsessed with,"My two top favorite pants are the Wunder Under and the Align, although I wear the Align pants pretty much every day and it’s most likely because the fit and comfort. They are super soft and comfy, make you look amazing and come in a variety of colors and patterns.",5 out of 5,OBSESSEDWITHLULUS,"BOCA RATON, FL, USA",SWEATY GENERALIST,45-54,ATHLETIC,,everything,nothing,2019-02-07,1,0,{}
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,2,I wish I could give these more stars..,"I love the Align Pant! However, out of the four to six pairs that I have, only one or two have maintained their quality. Some have stretched out in the knee and in the *butt* and almost all pairs have extreme pilling. I do not workout in Align pants. I wear WunderUnders or my old (absolute favourite!) High Times to train or practice. I wash them on their own in cold water, on delicate, (I have even tried hand washing to preserve their integrity!) and still find that after a few wears they are pilling or stretched out. I would say they are true to size, or if you don't mind them being a little snug you can afford to size down! If you are hard on your garments, or picky about pilling - even if you practice the utmost care for your garments - ask for an alternate style.",3 out of 5,DANIV89,"TORONTO, ON",SWEATY GENERALIST,25-34,ATHLETIC,,light weight,stretch out,2019-02-06,1,0,"{'LL_response_content': 'Dear daniv89,\n\nThank you for taking the time to share your feedback with us. We\'re sorry to hear that your Align Pant *Full Length 28"" has started to pill and stretch out. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,2,Align pants,I love them! Most comfy pants EVER!,5 out of 5,DANA27,,,,,,,,2019-02-06,0,0,{}
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,2,"Love them, but there is a downside","I own almost every color of the aligns and I love the way they fit, however the life span on these leggings don't last as long as others. They pile a fair amount in the crotch area after only a few uses. Will continue to buy because I love the fit and feel of them, just disappointed in their durability.",4 out of 5,LVIA,"ALBUQUERQUE, NM",SWEATY GENERALIST,18-24,CURVY,just right,,,2019-02-06,0,0,"{'LL_response_content': 'Dear Ivia,\n\nThank you for taking the time to share your feedback with us. We\'re so sorry to hear that your Align Pant *Full Length 28"" has started to pill. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"Align Pant Full Length 28""",https://shop.lululemon.com/p/women-pants/Align-Pant-Full-Length-28-MD/_/prod8840324?color=27985,3.1 out of 5,2,disappointing,"I bought these leggings after hearing mixed reviews, although the comfort on these leggings is amazing the quality is so poor.
I have worn the leggings 3 times total, twice to yoga and the amount of pilling that has occurred on 100$ pants is so disappointing. I bought them in the last week of December 2018 and it is now just the beginning of February and they covered in pills and I can't being myself to wear them again because I know it will just get worse.
Would absolutely NOT recommend these pants. I own a few other pairs of pants from lulu and unfortunately these do not compare in quality in the slightest.",1 out of 5,KATIEEEMMM,OTTAWA,YOGI,18-24,ATHLETIC,second skin,,pilling,2019-02-06,0,0,"{'LL_response_content': 'Dear katieeemmm,\n\nThank you for taking the time to share your feedback with us. We\'re so sorry to hear that your Align Pant *Full Length 28"" has started to pill and is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
