"Wunder Under High-Rise 7/8 Tight Full-On Luxtreme 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-78-Tight-Hi-Rise/_/prod8470056?color=31382,3.1 out of 5,1,Amazing,"I do not own a single pair of lululemon shorts or leggings that I am not happy with! Lululemon exceeds every expectation you could ever have. Stays put, doesn’t ride in certain areas, and made to last.",5 out of 5,CMOC,"DOTHAN, AL",SWEATY GENERALIST,35-44,CURVY,snug,fit feel color,,2019-01-08,7,3,"{'LL_response_content': ""Dear yogaflow13,\n\nWe're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you."", 'LL_response_date': 'January 27, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luxtreme 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-78-Tight-Hi-Rise/_/prod8470056?color=31382,3.1 out of 5,1,Good length for shorter people!,"I got these 7/8 Wunder Unders as a gift. I was hoping that they would fit me like a full length pant since I am 5'3"" and they did! They fit great and hit me right at the ankle with no extra fabric. They are the tiniest bit loose around my ankles as they are intended to hit further up the leg where it's wider, but it's hardly noticeable and doesn't get in the way. The fabric is slick and spandex-esque and pet hair brushes right off with ease! Overall super satisfied with these leggings.",5 out of 5,KD113,"ROANOKE, TX",SWEATY GENERALIST,18-24,PETITE,just right,comfortable,,2019-01-08,12,1,{}
"Wunder Under High-Rise 7/8 Tight Full-On Luxtreme 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-78-Tight-Hi-Rise/_/prod8470056?color=31382,3.1 out of 5,1,Awesome until they aren't,"When I first put these on, I fell IN LOVE. They felt great, stayed exactly where they should when I went running in them, and were just perfect. And they stayed that way for a little while... until after a few washes. I followed the instructions on the tag and always lay my leggings out to dry instead of using the dryer, but the waistband stopped staying in place the way it used to and I found myself tugging on them throughout the day, which was quite a bummer because these definitely aren't cheap. The Luxtreme fabric honestly feels great but sacrifices the integrity of the fit of the waistband :(",3 out of 5,RUNNINGTOGW,"AUSTIN, TX",RUNNER,18-24,LEAN,just right,silky-smoothness of the fabric,slipping off of waist,2019-02-07,0,0,"{'LL_response_content': 'Dear runningtogw,\n\nThank you for taking the time to review the Wunder Under Hi-Rise 7/8 Tight *Full-On Luxtreme 25"". I’m sorry to see you’re having some trouble with your gear—that\'s definitely disappointing. We\'d love to learn more and make things right for you, so keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 8, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luxtreme 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-78-Tight-Hi-Rise/_/prod8470056?color=31382,3.1 out of 5,1,Love them,Very nice leggings! Had a lot of compliments! Very comfortable beautiful print!,5 out of 5,SVETA,OKLAHOMA USA,SWEATY GENERALIST,35-44,LEAN,,material,,2019-02-07,0,1,{}
"Wunder Under High-Rise 7/8 Tight Full-On Luxtreme 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-78-Tight-Hi-Rise/_/prod8470056?color=31382,3.1 out of 5,1,So sad :(,"I got these as a gift for Christmas and was originally so excited about them! I've had such a positive experience and love my other pairs so much, so I wish I could say the same about this pair, but unfortunately I can't - piling started to build up a lot after just TWO wears - and they don't keep their shape. I've followed care instructions, but I am NOT happy.",2 out of 5,AFROMTX,TX,SWEATY GENERALIST,18-24,PETITE,just right,great initial fit,fit doesn't last,2019-02-07,0,0,"{'LL_response_content': 'Dear AfromTX,\n\nThanks for reaching out and providing this feedback for us. I\'m sorry to hear of the pilling that you\'re experiencing on your Wunder Under Hi-Rise 7/8 Tight *Full-On Luxtreme 25"" and can understand why you\'re not pleased. We\'d love to learn more and make things right for you, so keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 8, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luxtreme 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-78-Tight-Hi-Rise/_/prod8470056?color=31382,3.1 out of 5,1,Beautiful but not functional,"I bought two of these in store during an after Christmas sale (i.e., no returns). I fell in love with the gorgeous prints and initial comfort. However, as soon as I started real-life use, they began sagging and slipping down my waist and hips. It feels like they need stronger elastic at the top.Though still fine while I'm standing around, once I start moving, they roll under my belly and sag at the crotch. It's unsightly, uncomfortable, and irritating to tug them up every couple of minutes.",1 out of 5,GEIGO,WASHINGTON DC,RUNNER,45-54,CURVY,just right,beautiful unique prints,sagging and slipping,2019-02-07,0,0,"{'LL_response_content': 'Dear Geigo,\n\nThank you for taking the time to share your feedback with us. We\'re sorry to hear that your Wunder Under Hi-Rise 7/8 Tight *Full-On Luxtreme 25"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luxtreme 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-78-Tight-Hi-Rise/_/prod8470056?color=31382,3.1 out of 5,1,Wunder Under HR 7/8 tight,I buy Lululemon stuff all the time and have never had a complaint UNTIL I got these tights...the waistband rolls & slides down constantly. I am constantly pulling them up and it annoys the heck out of me...,1 out of 5,JM113,"SPRINGFIELD, MO.",SWEATY GENERALIST,OVER 65,LEAN,,loved loved the color,the waitband roll drives me to distraction,2019-02-07,0,0,"{'LL_response_content': 'Dear jm113,\n\nThank you for taking the time to share your feedback with us. We\'re sorry to hear that your Wunder Under Hi-Rise 7/8 Tight *Full-On Luxtreme 25"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luxtreme 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-78-Tight-Hi-Rise/_/prod8470056?color=31382,3.1 out of 5,1,Great for the first few wears :(,"So these leggings fit like a glove at first. After a few washes (following the instructions of course), these leggings became unwearable. I cannot do anything without constantly pulling them up. I had the same issue with the all the right places leggings. I love lululemon leggings but something needs to change with their waist bands so they don't loosen/stretch but make you feel sucked in/tight instead. For reference, I wear a 6 in all lulu & have a bigger lower body and typically wear size 6-8 jeans, so a size 4 would be way too tight and looked kinda sheer on me, so sizing down wouldn't help me.",2 out of 5,BEXXX,"BALTIMORE, MD",SWEATY GENERALIST,18-24,CURVY,roomy,material,waist band,2019-02-06,3,0,"{'LL_response_content': 'Hey Bexxx,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear your Wunder Under Hi-Rise 7/8 Tight Full-On Luxtreme 25"" has not retained its shape. We stand behind our gear and want to make this right. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'February 6, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luxtreme 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-78-Tight-Hi-Rise/_/prod8470056?color=31382,3.1 out of 5,2,Waistband ruins them for me...,"I absolutely love how these leggings look, the material feels great, no pilling and they wash great. HOWEVER, I cannot get over the fact that the waistband rolls & slides down constantly. They were fine the first time I wore them but now I'm constantly pulling them up during my workouts which is extremely frustrating. They were washed as directed and I always hang dry. I own other wunder unders and have not had an issue with the waistband. Maybe sizing down would fix the problem but sadly I don't think I would buy another pair.",2 out of 5,DMELL233,NEW YORK,,35-44,ATHLETIC,,feel of fabric,waistband slides down,2019-02-05,2,0,"{'LL_response_content': 'Hey dmell233,\n\nThanks for taking the time to share your feedback with us. It sounds like your Wunder Under Hi-Rise 7/8 Tight Full-On Luxtreme 25"" is not providing the right fit. We stand behind our gear and want to make this right. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'February 6, 2019'}"
"Wunder Under High-Rise 7/8 Tight Full-On Luxtreme 25""",https://shop.lululemon.com/p/women-pants/Wunder-Under-78-Tight-Hi-Rise/_/prod8470056?color=31382,3.1 out of 5,2,favorite thing ever.,"I don't mean to be dramatic.....but these are the best things I have ever put on my body. Seriously. I have a pair in gray and another in black, and I would like every other color ever made. They are tight and hold everything in- perfect for yoga, weight training, HIIT, and running to Trader Joes. I'm so in love with these",5 out of 5,SWEATYBETTYSPAGHETTY,"PARAGOULD, AR 72450, USA",SWEATY GENERALIST,18-24,MUSCULAR,second skin,length,,2019-02-05,0,0,{}
