"Fast & Free 7/8 Tight II Nulux 25""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Tight-II/_/prod8620001?color=0001,3.2 out of 5,1,Tie Them Up,This was my first Lululemon purchase EVER! The sales associate was super helpful during my first shopping experience and I finally selected the Fast and Free. These pants felt great in the store but then I went for my first run. They kept slipping down. Finally had to knot the drawcord and then they were more comfortable. The whole reason I came to Lululemon was because I wanted running pants that had a “stay put” waistband. Wish I had sized down but now I know next time to try a smaller size.,3 out of 5,TENKES,,,,,,,,2019-02-07,0,0,"{'LL_response_content': 'Dear TenKES,\n\nThank you for taking the time to review the Fast & Free Tight 7/8 II *Nulux 25"". I’m sorry to see you’re having some trouble with your gear—that\'s definitely disappointing. We\'d love to learn more and make things right for you, so keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 8, 2019'}"
"Fast & Free 7/8 Tight II Nulux 25""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Tight-II/_/prod8620001?color=0001,3.2 out of 5,1,I want to give these 5 stars SO BAD,"I was given a bunch of Lulu stuff for the holidays from family members and this pair of leggings was by far my favorite. They are amazing and as a rower who works out 6 days a week at the crack of dawn, this is a great pair to stay warm in during winter. I was so sad to be told today as I was wearing them that I had thread hanging from my waste. The waistband thread had begun to unravel and the fabric separating. I have always been the same size, I wash in cold and hang dry all my Lulu leggings. I am so, so sad, but honestly best leggings I think you guys have made besides the unraveling of course",2 out of 5,ROWER2998,"DAVIS, CA, USA",SWEATY GENERALIST,18-24,ATHLETIC,just right,compression,thread is unraveling!!!!,2019-02-07,0,0,"{'LL_response_content': 'Dear rower2998,\n\nThank you for taking the time to review the Fast & Free Tight 7/8 II *Nulux 25"". We\'d like to turn this around and ensure your gear is providing long lasting performance for you. Since it sounds like this isn\'t the case, please keep an eye on your inbox so we can get to work on a solution for you!', 'LL_response_date': 'February 8, 2019'}"
"Fast & Free 7/8 Tight II Nulux 25""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Tight-II/_/prod8620001?color=0001,3.2 out of 5,1,stitching came undone after 1 month,Stitching came undone after only a month of occasional wear of my fast and free nulux. I handwash all my lululemon leggings and hang them to dry. I would advise against purchasing this item.,2 out of 5,ORCALULU,SAN FRANCISCO,RUNNER,18-24,SLIM,,,quality,2019-02-07,0,0,"{'LL_response_content': 'Dear orcalulu,\n\nThanks for reaching out and providing this feedback for us. We hear where you\'re coming from and I\'m sorry to hear your Fast & Free Tight 7/8 II *Nulux 25"" haven\'t held up for you as expected. To carry on this conversation, we\'ve sent you a follow up email. Chat soon!', 'LL_response_date': 'February 8, 2019'}"
"Fast & Free 7/8 Tight II Nulux 25""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Tight-II/_/prod8620001?color=0001,3.2 out of 5,1,One of my favorite pair,Love these for CrossFit type workouts. They don’t live especially during burpees which I’m super picky about. Totally recommend these.,5 out of 5,XFITMOM2,CALIFORNIA,SWEATY GENERALIST,35-44,MUSCULAR,,material,,2019-02-07,0,0,{}
"Fast & Free 7/8 Tight II Nulux 25""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Tight-II/_/prod8620001?color=0001,3.2 out of 5,1,DISAPPOINTED,"I bought these leggings because they are very flattering, NOT suppose to stretch out, and have great pockets. They initially fit very tight, and although I am typically a 4, I went with a 6 for my first pair because they were so fitted in store. Shorty after wearing them and taking the tags off, they were noticeably GROSSLY too big. I couldn't keep them up. So, since I loved them, I just went ahead and bought the 4 since that is my usual size and no joke after a few workouts in them, they started scrunching in the backside and got loose in the legs. They are too big to workout in now. I have tried drying them to get them back to size, but they just stretch back out again. After all this, the 2 appears it would be the perfect size. I just wish I would have known they would stretch like this before buying TWO pair that are too big. I love these leggings and so disappointed they are both the wrong size.",2 out of 5,KJFIT0316,,SWEATY GENERALIST,25-34,ATHLETIC,,,,2019-02-07,1,0,"{'LL_response_content': 'Dear KJFIT0316,\n\nThank you for taking the time to share your feedback with us. We\'re sorry to hear that your Fast & Free Tight 7/8 II *Nulux 25"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"Fast & Free 7/8 Tight II Nulux 25""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Tight-II/_/prod8620001?color=0001,3.2 out of 5,1,The only pants for spinning,"I simply cannot understand the bad reviews this pants are getting.
I own two pairs of the pants in black. I bought them 13 months ago. I spin 6 days per week, and I wear each pair 3 times in 1 week. This means that I wash each pair 3 times per week. 13 months after, each pair must have gone through almost 170 washing cycles, and they look just like the first day. Just make sure you wash in cold, and do not tumble dry (just hang to dry).
I am 5'2 and I weight around 105 pounds. The person that helped me at the store told me to buy the size 2, but I went for a size 4. I think that maybe the reason why a lot of people are saying it is breaking is because they are buying sizes that are just too small!
I hope this pants are not discontinued, The Nulux material is perfect for sweaty biking sessions. I used to wear the Wunder Under, I was always dying from the heat. This pants are a game changers. Oh, and I love the pockets (I use them to keep my earplugs, headphones, etc).",5 out of 5,CARLOTA88,"TORONTO, CANADA",CYCLIST,25-34,PETITE,second skin,cool sensation,,2019-02-07,2,0,{}
"Fast & Free 7/8 Tight II Nulux 25""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Tight-II/_/prod8620001?color=0001,3.2 out of 5,1,Poor Quality,first pair fell apart a week in and second pair after 3 wears is see-through and stretched out. I was excited about these because of the material and the draw string and now i feel the quality is terrible.,2 out of 5,BRITTTT,ORANGE COUNTY,SWEATY GENERALIST,25-34,ATHLETIC,roomy,drawstring pockets,see through,2019-02-06,0,0,"{'LL_response_content': 'Dear Britttt,\n\nThank you for taking the time to share your feedback with us. We\'re sorry to hear that your Fast & Free Tight 7/8 II *Nulux 25"" has stretched out and is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"Fast & Free 7/8 Tight II Nulux 25""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Tight-II/_/prod8620001?color=0001,3.2 out of 5,1,Fast & Free Tight 7/8 II Nulux 25,I put these on for my workout and they felt great...at first. Half way through my workout I found my self pulling these up not only in my waist (I had the drawstring tightened) but also on my legs! It felt like the longer I wore them the baggier or looser they became. SO NOT LIKE MY OTHER LULU'S! I'm disappointed because Lulu is the only thing I wear for workouts. I think maybe these ones just aren't their best. Bummed I can't return/exchange.,1 out of 5,SOCCER333,"ORANGE COUNTY, CA",SWEATY GENERALIST,45-54,ATHLETIC,oversized,,,2019-02-06,0,0,"{'LL_response_content': 'Dear soccer333,\n\nThank you for taking the time to share your feedback with us. We\'re so sorry to hear that your Fast & Free Tight 7/8 II *Nulux 25"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"Fast & Free 7/8 Tight II Nulux 25""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Tight-II/_/prod8620001?color=0001,3.2 out of 5,2,Absolutely Awful,"Bought the black and polka-dot pairs of these. Not only are they see-through, but I washed them ONCE and they basically fell apart. I have never been so disappointed. not only are they pilling, something very strange is happening to the pockets on these, they're beyond pilling and almost have a fuzzy texture to them. Absolutely horrible quality, can't believe I wasted $250. Been a lulu customer for years but recently has not been performing for me.",1 out of 5,RHONDA123,,,,PETITE,second skin,super soft,pilling,2019-02-06,0,1,"{'LL_response_content': 'Hey rhonda123,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear your Fast & Free Tight 7/8 II Nulux 25"" is pilling. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'February 6, 2019'}"
"Fast & Free 7/8 Tight II Nulux 25""",https://shop.lululemon.com/p/women-pants/Fast-And-Free-Tight-II/_/prod8620001?color=0001,3.2 out of 5,2,doesn't hold up,"I recently bought these leggings at the store. I tried on a size 6 which fit well in store, but after wearing them only three times and washing them in cold water once (and air drying), the seams have already started to fray and the waistband is loose. I have to tighten the waistband just to hold them up. I think the leggings are cute, but I just wish that they were more fitted and kept their shape. Considering the price, I'm disappointed in these leggings.",2 out of 5,RUNNER076,,RUNNER,18-24,PETITE,roomy,,,2019-02-06,0,0,"{'LL_response_content': 'Hey runner076,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear your Fast & Free Tight 7/8 II Nulux 25"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'February 6, 2019'}"
