"All The Right Places Pant II 28""",https://shop.lululemon.com/p/women-pants/All-The-Right-Places-Pant-II/_/prod1550047?color=35653,2.9 out of 5,1,All the wrong places,"I initially went for these pants as I love the design from the stitching. However, after one or two wears they lost all elasticity in the hips, butt and upper thigh region. I was even filmed teaching a yoga class and was shocked when I watched the video playback to see me constantly trying to hike up my pants over and over again - overly disappointed in this particular pair of leggings which is a same as the stitching design is bang on",1 out of 5,YOGA198519,"NORTH CAROLINA, USA",YOGI,25-34,ATHLETIC,flowy,stitching design,function,2019-02-07,0,0,"{'LL_response_content': ""Dear Yoga198519,\n\nThank you for taking the time to review the All The Right Places Pant II. We'd like to turn this around and ensure your gear is providing long lasting performance for you. Since it sounds like this isn't the case, please keep an eye on your inbox so we can get to work on a solution for you!"", 'LL_response_date': 'February 8, 2019'}"
"All The Right Places Pant II 28""",https://shop.lululemon.com/p/women-pants/All-The-Right-Places-Pant-II/_/prod1550047?color=35653,2.9 out of 5,1,Ripped after a few months :(,"I LOVED these -- the way they fit, the way they feel, how flattering they are...but I wore them maybe 15 times, followed the washing instructions, worked out in them maybe 6-7 times ONLY and they've already ripped!! This happened to another pair of my lulu leggings -- for 100 dollars I'm just SAD",1 out of 5,LWT97,"NASHVILLE, TN",RUNNER,18-24,SLIM,,,,2019-02-07,0,0,"{'LL_response_content': ""Dear lwt97,\n\nThanks for reaching out and providing this feedback for us. We hear where you're coming from and I'm sorry to hear your All The Right Places Pant II haven't held up for you as expected. Keep your eyes peeled for an email headed your way so we can follow up and chat further.\nTalk soon!"", 'LL_response_date': 'February 8, 2019'}"
"All The Right Places Pant II 28""",https://shop.lululemon.com/p/women-pants/All-The-Right-Places-Pant-II/_/prod1550047?color=35653,2.9 out of 5,1,great leggings,So cute! They hold in all my leg fat so nicely and make the shape look great,5 out of 5,HANAKO,,,,,second skin,,,2019-02-06,2,0,{}
"All The Right Places Pant II 28""",https://shop.lululemon.com/p/women-pants/All-The-Right-Places-Pant-II/_/prod1550047?color=35653,2.9 out of 5,1,Love!,"Perfect material, just enough high rise, and the seams accentuate all the right things!",5 out of 5,TLL3383,NJ,YOGI,35-44,ATHLETIC,,material,,2019-02-05,0,0,{}
"All The Right Places Pant II 28""",https://shop.lululemon.com/p/women-pants/All-The-Right-Places-Pant-II/_/prod1550047?color=35653,2.9 out of 5,1,"So much expectation, but disappointing","I loved these leggings when I tried them on. They truly did fit in all the right places, with no seam in the front and a very comfortable waistband on the tummy, which was a huge selling point for me. Not to mention the sole reason I got them was for pockets! However, I was so disappointed that I spent the whole time wearing these, pulling them up every few minutes. They fit fine still and look amazing, but honestly isn't worth the very pricey amount when there are many other brands that stay up fantastic in and out of the gym. I've already worn and washed them so I can't return them for another pair that stays up better. Frustrating, especially for the quality you think you are paying for.",3 out of 5,KRISTALLISON4,"CHICAGO, IL",SWEATY GENERALIST,25-34,ATHLETIC,roomy,pockets,fall down,2019-02-04,1,0,"{'LL_response_content': ""Dear kristallison4,\n\nThank you for taking the time to review the All The Right Places Pant II. I’m sorry to see you’re having some trouble with your gear—that's definitely disappointing. We'd love to learn more and make things right for you, so keep an eye out for an email coming your way. Chat soon!"", 'LL_response_date': 'February 5, 2019'}"
"All The Right Places Pant II 28""",https://shop.lululemon.com/p/women-pants/All-The-Right-Places-Pant-II/_/prod1550047?color=35653,2.9 out of 5,1,Super Comfortable,I love these leggings!!! This is my second pair of lululemon leggings and the fit and fabric on these is even better than my first pair.,4 out of 5,STUDENTDPT,"VIRGINIA BEACH, VA",YOGI,18-24,PETITE,,,,2019-02-04,0,0,{}
"All The Right Places Pant II 28""",https://shop.lululemon.com/p/women-pants/All-The-Right-Places-Pant-II/_/prod1550047?color=35653,2.9 out of 5,1,Disappointing Quality,"I bought two pairs of these leggings in black, size 4 (I have a 25"" waist). At the time when trying it on in the store, the leggings seemed to fit perfectly, however after wearing them to a workout session, then washing them (I followed the care instructions correctly: gentle wash, no drying machine), I must say that I am incredibly disappointed in the fabric and quality of these leggings. I am *constantly* pulling up the waistband now and this is just if I wear them out on a walk to do errands. Wearing them to the gym is even worse, and half the time of my workout I spend pulling them up. These do NOT fit like a second skin at all, there is a bunch of creasing behind my knees even when I stand straight and they feel quite loose now around my ankles. Incredibly disappointing, especially for a pair of leggings that are $128+ after tax.",1 out of 5,AYANNA1993,"NEW YORK, NY",SWEATY GENERALIST,25-34,ATHLETIC,roomy,,,2019-02-04,0,0,"{'LL_response_content': ""Dear ayanna1993,\n\nThanks for reaching out and providing this feedback for us! We stand behind the quality of our product, and we want to ensure that you're in gear that is performing well for you. I hear that this is not the case and would like to work with you to create a resolution. Please keep an eye on your inbox as I'll be reaching out shortly to connect."", 'LL_response_date': 'February 4, 2019'}"
"All The Right Places Pant II 28""",https://shop.lululemon.com/p/women-pants/All-The-Right-Places-Pant-II/_/prod1550047?color=35653,2.9 out of 5,1,Loved them,I absolutely loved these pants! I am definitely going to get more in other colors! I love leggings with pockets in them.,5 out of 5,BONNIE33,"GARDEN CITY, MICHIGAN",SWEATY GENERALIST,45-54,ATHLETIC,second skin,pockets and the fit,,2019-02-03,0,0,{}
"All The Right Places Pant II 28""",https://shop.lululemon.com/p/women-pants/All-The-Right-Places-Pant-II/_/prod1550047?color=35653,2.9 out of 5,2,"Good at first, but then waist band stretched out","I loved these leggings when I first bought them, I got a size 6 and I'm 145 lbs 5'6 and that is the size I always purchase. They fit perfectly and were my go to for a few months. I washed them as instructed and never dried. Now, I literally cannot wear these leggings anymore. I tried to wear them a few days ago and was constantly pulling them up. They do not stay up at the waist band and are not snug anymore at all. I know I am not a size 4 because I tried this size on too before I purchased a 6 and I couldn't even get the 4 over my thighs/butt. I am so sad that the waist band stretched out, especially for the price :(",1 out of 5,BEXXX,"BALTIMORE, MD",SWEATY GENERALIST,18-24,CURVY,oversized,fit good for first month or two,stretched out in a few months,2019-02-01,2,0,"{'LL_response_content': ""Dear Bexxx,\n\nThanks for reaching out and providing this feedback for us. We hear where you're coming from and I'm sorry to hear your All The Right Places Pant II haven't held up for you as expected. To carry on this conversation, we've sent you a follow up email. Chat soon!"", 'LL_response_date': 'February 1, 2019'}"
"All The Right Places Pant II 28""",https://shop.lululemon.com/p/women-pants/All-The-Right-Places-Pant-II/_/prod1550047?color=35653,2.9 out of 5,2,Adore these!,"Love the fit and feel of these , i own about 6 pairs at this point and will continue to buy them!",5 out of 5,LAURENELIZABETH,,SWEATY GENERALIST,25-34,CURVY,just right,,,2019-01-30,0,0,{}
