"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,1,My favorite workout pants,In movements are my favorite workout legging at lulu. They never fall but aren't too tight that they feel like they are suffocating you. They fit true to size.,5 out of 5,MEZZIE,"NEWARK, DE",RUNNER,18-24,ATHLETIC,snug,fabric,,2019-01-08,21,2,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,1,Love love,These hug in all the right places when working out. I don’t need to keep pulling them up at the waist or the legs! These are so comfortable and really feel like I can do anything in them. Love the material as they’re more durable than the naked sensation but still are so light weight and comfy.,5 out of 5,RCARN,MICHIGAN,SWEATY GENERALIST,18-24,ATHLETIC,snug,,,2019-01-08,12,0,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,1,Best leggings,"These leggings are my favorite style lululemon offers! They are extremely high waisted and hold me in great. I really like them because I change up my workouts a lot between studio, cycling, and training, and in movement leggings can be worn with all of them!",5 out of 5,MORELULULEMONPLEASE,"SAN ANTONIO, TX, USA",SWEATY GENERALIST,18-24,ATHLETIC,tight,fit,light colored patterns are sometimes see through,2019-01-08,14,0,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,1,My Favorite Training Pants,"everything I love about lululemon in one pant!
Adore the high rise fit, awesome fabric for weight training and super sweaty cardio sessions, and the perfect length for my height (5'2"")!!
these pants have not let me down. they do not snag with my crazy training and they dry fast! I roll out of bed and put these on for my 5am weight lifting/high intensity training sessions.
my only desire is that lulu continues to make these pants in more colors!",5 out of 5,WAKEUPWORKOUT,"NEWPORT BEACH, CA",SWEATY GENERALIST,25-34,ATHLETIC,second skin,fit,,2019-01-05,21,0,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,1,Everlux fabric is good. Also - NOT my favorite.,"I was tempted to buy In Movement leggings a few times, but ended up returning them. I like the feel of this fabric which reminds me of buttery-soft Nulu. However, these fabrics have less compression compare to Luxtreme or Nulux. I prefer more compression in my workout pants, so I buy my leggings mostly made with these types of fabric. When I say Workout Pants, I don't mean yoga. This is about high intensity activity - with lots of jumps & cardio. I believe the In Movement tight would be great for cycling, yoga and weight-lifting. I do these activities as well, so I kept two pairs In Movement crops (I'm 5'4"", 122lbs, size 4 in these). But those are not my favorite, just OK. These 7/8 Tight fits TTS, also roomy, more on a loose side.",4 out of 5,SAGUAROHIT,"PARADISE VALLEY, AZ, USA",SWEATY GENERALIST,55-65,LEAN,,softness style velvety look,not enough compression,2019-02-07,0,0,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,1,Perfect,"These pants were a great fit for yoga. They never rolled down at the waist, and the sweat dried quickly after. I’d love to get more but you are out of my size in the color I’d like.",4 out of 5,SASSK13,"APPLETON, WI, USA",RUNNER,45-54,ATHLETIC,,colors,availability,2019-02-07,0,0,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,1,Love these leggings – don't let other reviews scare you,"I tried these on at the store and loved them. It was after I got home that I checked the reviews on the website. I saw so many complaints about them stretching out and attracting lint and hair. I felt super sad and considered returning them. But, I gave them a shot and am so glad I did! I've owned them for several months now and can say 1. They don't stretch out unless you wear them multiple times without washing in between; and 2. These are my least lint-attracting Lulus I own. My cats fur sticks to my Luon Wunder Unders and Aligns WAY more than these. Overall, love them for any activity – sweaty or not. I typically wear them for running and pilates. I plan on getting another pair soon!",5 out of 5,ALIX11,WISCONSIN,SWEATY GENERALIST,18-24,LEAN,second skin,fit,,2019-02-07,0,0,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,1,Favorite tights,I love the In Movement 7/8 tights best of all LuLu tights. They fit great and are very comfortable. The new plum color is great.,5 out of 5,LOVEHIIT,"FLORENCE, AL",,55-65,ATHLETIC,,fit great,,2019-02-07,0,0,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,2,Good nuffff,"The fabric is thicker, and they are running baggy (especially in the ankles) but I can still workout in them.",3 out of 5,PNWESTY,SEATTLE,SWEATY GENERALIST,35-44,CURVY,roomy,great seam lines in all the right places,baggy in crotch and ankles,2019-02-07,0,0,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,2,Amazingly soft,"These leggings are unbelievably comfortable. Super soft, super sleek, and definitely a favorite pair of mine!!",5 out of 5,AD00,SOUTH CAROLINA,SWEATY GENERALIST,UNDER 18,,,,,2019-02-07,0,0,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,2,Great workout pants!,"Love these pants. I really like that the rise is slightly higher in the back than in the front. I feel like I have full coverage from behind, but the front hits just under my belly button so I don't get the awkward waist rollover when I'm flowing. I'd definitely buy multiple if the other colors were available in my size!",5 out of 5,KEANDERS,"SAN FRANCISCO, CA",YOGI,25-34,SLIM,,,,2019-02-07,0,0,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,2,Loved at First - Issues w/ Pilling + Stretching Out,Was super excited to get these after reading reviews. Wore them and loved. After a few wears they started stretching out and I was constantly pulling them up. Two washes later and they're already pilling on the inner seams. Sad because I really thought I'd love these!,3 out of 5,LAUR1024,TEXAS,SWEATY GENERALIST,18-24,ATHLETIC,just right,comfortable,stretch out,2019-02-07,0,0,"{'LL_response_content': 'Dear laur1024,\n\nThanks for reaching out and providing this feedback for us. I\'m sorry to hear you\'re having such trouble with your In Movement 7/8 Tight *Everlux 25""! I\'d love to chat with you further about this and find a resolution. Keep your eyes peeled for an email headed your way so we can follow up and chat further.\nTalk soon!', 'LL_response_date': 'February 8, 2019'}"
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,2,Great Workout Pant,I love these pants. They are so comfortable but also have some compression. They are great for an intense workout. They are squat proof and sweat proof. My only complaints would be that I would love if the front panel was wider (more like the align). The other small complaint I have is that the seam on my calf is piling a bit. Would absolutely recommend.,4 out of 5,OTTAWAMOM1983,"OTTAWA, ON, CANADA",SWEATY GENERALIST,25-34,PETITE,,super flattering,,2019-02-07,0,0,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,2,bad waist band,"Material is alright, i feel all tights are now see through that i have been buying, they all stretch out after a couple wears. The waist band rolls down when instructing classes or working out. I do like the length of the tight and the softness of the material. They arent quick dry though",3 out of 5,BRITTTT,ORANGE COUNTY,SWEATY GENERALIST,25-34,ATHLETIC,just right,length,waist band,2019-02-06,0,0,"{'LL_response_content': 'Dear Britttt,\n\nThank you for taking the time to share your feedback with us. We\'re sorry to hear that your In Movement 7/8 Tight *Everlux 25"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,2,blahhh,"These were soft and comfortable and fit perfectly but within 30 minutes of wear, they were all stretched out and wouldn't stay up anymore. I spent the rest of the day constantly pulling them up.",2 out of 5,SK57294,,SWEATY GENERALIST,18-24,ATHLETIC,,,,2019-02-06,0,0,"{'LL_response_content': 'Dear sk57294,\n\nThank you for taking the time to share your feedback with us. We\'re so sorry to hear that your In Movement 7/8 Tight *Everlux 25"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat soon!', 'LL_response_date': 'February 7, 2019'}"
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,2,The Worst!,"Did I pee my pants? You might think that due to all of the sweat stains that appeared while wearing these pants.
I didn't. But it looked like I did. And this was in the dark olive color. I wore this to a pilates reformer class, not even a high intensity class. I was beyond mortified. I've never experienced this in other LLL olive pants (at least not this crazy level).
On top of this issue the pants just won't stay up. No matter how many times during the hour long class I tugged and pulled (I'm guessing close to 30..) they just roll over.
These are the worst pants I have ever purchased from LLL. I have a closet full that I love, but these, I don't know what happened.
For reference I'm 5-5, 127 lbs, and ordered a size 6. Disappointed as I will never be able to wear these to a class.",1 out of 5,LIZSKI617,"BOSTON, MA",SWEATY GENERALIST,35-44,ATHLETIC,roomy,color,sweat stains in a sweat wicking fabric,2019-02-06,2,0,"{'LL_response_content': 'Hey lizski617,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear your In Movement 7/8 Tight Everlux 25"" is not performing for you. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'February 6, 2019'}"
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,2,fits like a second skin!,"an amazing pair of leggings, fits like a second skin and super duper smooth! I used to love the aligns bc they were soft like these ones, but had to return them bc they were pilling like crazy... the in movements feel the same (dare I say somewhat even better...) and I haven't had a pilling problem so far, so I'm super happy :) the only reason why it's not 5 stars is bc I'm a little scared to wear them to workout-- I try to save them for my yoga classes and more light leisurely outings just in case they end up like my aligns. overall though, I would recommend, esp when they're on wmtm!",4 out of 5,EATSLEEPKETTLEBELLREPEAT,"TORONTO, ONTARIO",SWEATY GENERALIST,18-24,ATHLETIC,second skin,super soft material,logo by the bum lol (i love it on the left leg!),2019-02-06,0,0,{}
"In Movement 7/8 Tight Everlux 25""",https://shop.lululemon.com/p/women-pants/In-Movement-78-Tight/_/prod8760192?color=0001,3.3 out of 5,2,"Nice Fit, But Show Sweat","I'm a little bummed about these. While the fit and look are fantastic, I was let down by the fact that they REALLY show sweat. I know nothing is perfect, but I did a great deal of research AND visited the store to discuss how I needed something that would breathe and hide sweat. All signs pointed me to this pant.

I lift and do interval training and usually start workouts with a 1-3 mile jog. After 2 miles at the gym, I climbed off the treadmill and walked past the mirror and was a little embarrassed by how easily seen it was. I know we all sweat. But for this reason, I only stick to black workout pants, so when I go for a pant, I try to find a pair that won't show.
Now I have a nice pant that I won't workout in.",2 out of 5,ARIBERRY1,TEXAS,SWEATY GENERALIST,25-34,ATHLETIC,tight,the fit,,2019-02-06,0,0,"{'LL_response_content': 'Hey AriBerry1,\n\nThanks for taking the time to share your feedback with us. I\'m sorry to hear your In Movement 7/8 Tight Everlux 25"" is not performing for your sweaty prsuits. We stand behind our gear and we\'d love to get in touch. Keep an eye out for an email coming your way. Chat Soon!', 'LL_response_date': 'February 6, 2019'}"
