"Align Pant II 25""",https://shop.lululemon.com/p/women-pants/Align-Pant-2/_/prod2020012?color=35552,2.9 out of 5,194,Used to be my favorite,"These pants used to be my absolute favorite. While they are insanely comfortable, I am now on my third pair because they are constantly falling a part. My current pair are only about 2 months old and are pilling everywhere. They have gotten so bad that I can no longer where them. Very disappointed after constantly spending almost $100 for these pants.",2 out of 5,BRIJUR,,,,,,,,2016-05-29,1,1,"{'LL_response_content': 'Hey BriJur,\nThanks for taking the time to share with us about your Align Pant II. I’m sorry to hear of the pilling you’re experiencing with them. We stand behind our quality, and we’d love to work with you towards a solve. Please give us a ring at 1.877.263.9300 so we can find a fix. Chat with you shortly. ', 'LL_response_date': 'May 30, 2016'}"
"Align Pant II 25""",https://shop.lululemon.com/p/women-pants/Align-Pant-2/_/prod2020012?color=35552,2.9 out of 5,194,great customer service experience with this pant,"I bought the original align pant back in January. The thinness of the material is both a blessing and a curse. These pants are ridiculously comfortable and easy to move in but I did notice the material pilling pretty quickly in the thigh area. I don't mind it so much because I bought them to use as leggings I wear under dresses and skirts in colder weather.
However, I saw that one of the seams near the ankle was coming undone and recently noticed it getting worse. After reading the other reviews about this problem I talked to a rep online. They were more than happy to organize a replacement. I ended up just taking them to the store near me, where one of the employees told me to grab a new pair off the shelf (this time an align pant II) and exchanged it for me. I hope this pair will do better than my first but certainly appreciate that I have always been able to resolve issues that occasionally come up with my lulu items without any difficulty.",4 out of 5,SUSANNAZ,PITTSBURGH,SWEATY GENERALIST,25-34,CURVY,,comfortable,thin material,2016-05-29,2,0,{}
"Align Pant II 25""",https://shop.lululemon.com/p/women-pants/Align-Pant-2/_/prod2020012?color=35552,2.9 out of 5,194,Love Love Love!!!,"These pants are an amazing staple for any yogi, runner, or chic errand runner. They fit you like a glove and never lose their shape!",5 out of 5,MERCEDEZ,"SAN FRANCISCO, CA, USA",,18-24,CURVY,,,,2016-05-28,1,1,{}
"Align Pant II 25""",https://shop.lululemon.com/p/women-pants/Align-Pant-2/_/prod2020012?color=35552,2.9 out of 5,194,"Love, love, love!","Fantastic pair of pants! I've worn them at least once a week for a month now and have washed them 3 times. They have kept their shape and have not pilled at all. Very breathable and airy I've worn them to heated barre and sculpt classes and have stayed cool and comfortable. I'm 5'6"" and 120lbs and a size 6 fit great.",5 out of 5,BARREBELLE21,"MINNEAPOLIS, MN, USA",SWEATY GENERALIST,35-44,LEAN,,kept me cool,waist is a little higher than i'd want,2016-05-27,1,0,{}
"Align Pant II 25""",https://shop.lululemon.com/p/women-pants/Align-Pant-2/_/prod2020012?color=35552,2.9 out of 5,194,Wonderful...until you wear/wash them twice.,"I was so excited about this new pant and Lululemon's new ""naked feel"". I bought these and they became my new favorite pant!! I have a lot of Lululemon, and have occasionally noted more pilling than usual, but these pants are basically falling apart from so much pilling. I thought maybe it was just a bad pair, so I bought another pair-same size and color-and the same thing happened. Now I have two pairs that are both very pilling very bad and seem to be falling apart. There is so much pilling that the fabric is thinning and I am worried they may even rip.",2 out of 5,ECHICAGO,,,,,,,,2016-05-27,1,0,"{'LL_response_content': ""Hi there EChicago,\nThank you for reaching out and taking the time to write your review. I'm sorry to hear of the pilling that you're experiencing on your pants. I'd suggest reaching out to our GEC to chat further about this - 1.877.263.9300."", 'LL_response_date': 'May 27, 2016'}"
"Align Pant II 25""",https://shop.lululemon.com/p/women-pants/Align-Pant-2/_/prod2020012?color=35552,2.9 out of 5,194,The most comfortable work out pants,"I have never had more comfortable work out pants. The fit is extremely flattering. I feel well protected wearing them, yet they feel like second skin. This is my favorite ""go to"" pant.",5 out of 5,CHERNOMOR,"FARGO, ND, USA",SWEATY GENERALIST,45-54,ATHLETIC,,fit and quality,,2016-05-26,0,1,{}
"Align Pant II 25""",https://shop.lululemon.com/p/women-pants/Align-Pant-2/_/prod2020012?color=35552,2.9 out of 5,194,Comfortable but Poor Quality,"After recommendations from multiple friends, I decided to take the plunge and buy myself some of the Align leggings. They are hands down the most comfortable pair of pants I've ever owned. The Naked fabric truly does make it feel as if these leggings are you second skin. But I've worn them twice, haven't even worked out in them yet, and washed them once according to the care instructions and the waistband threads are coming out and the sides of the pant are pilling so badly it's noticeable from a distance. For almost $100 I expected both a fabulous fit and excellent wear, and while the Align pant is incredibly comfy, it's not worth that much money for pants that pill so soon.",2 out of 5,S1H8WNA,,,,,,fit,fabric,2016-05-25,2,0,"{'LL_response_content': ""Hi s1h8wna,\nI appreciate you taking the time to let us know this happened to your pant. We stand behind the quality of our gear, and if our product doesn't perform for you, we’d love to help you out. While pilling does not impact the functionality of your pants, I know it is not the look you want them to have. We'd love to make this right, and create a resolution for you. We have sent you an email to chat further."", 'LL_response_date': 'May 26, 2016'}"
"Align Pant II 25""",https://shop.lululemon.com/p/women-pants/Align-Pant-2/_/prod2020012?color=35552,2.9 out of 5,194,Amazing...until you wash them,"So I saw these pants all over the fitness side of instagram and knew I had to try them on. Went to the store, put them on, and instantly fell in love! So in love that I bought them without thinking and then later had to return them after I got my wits about me and realized I couldn't actually afford them at that time haha. After saving up I bought them in a size 4. My measurements are 32-24-38 inches for reference and I'm 5'2, and at first I went by the size chart and tried a size 8. Way too big in the waist, so I sized down to a size 6 which was better but still a bit big and made them sag in the crotch. The size 4 is perfect! Fits my waist snug and is super comfortable on my legs too. I would recommend sizing down if you aren't sure what size to get.
I wear them for lifting, even though I know they aren't for that. Despite using them for the gym (not cardio) they stayed in perfect condition. I put off washing them because I knew they had terrible reviews online about pilling and seams falling apart.
I washed them today in a lingerie bag on delicate by itself in cold water, hung it up to dry, and lo and behold, the seems are fraying pretty badly. It's mostly on one side, and there is also a couple pills there too. Very concerning after dropping more than $100 and this is only after the first wash.
Another thing is, they show sweat despite the ""sweat wicking"". I usually workout in nike dri fit running pants, and they never ever show sweat. Ever. So I was shocked and embarrassed when I found out on leg day that these show sweat. Before I bought them, I talked to a lululemon online chat person and asked them specifically if they showed sweat because I didn't want that, and they said no. They said only if you are sweating excessively will it show. I was not sweating excessively at all when it showed. I called my local store about it and the manager was shocked that someone would tell me that they wouldn't show sweat, and had a bit of an attitude saying that OF COURSE they would show sweat since you're wearing spandex pants (can you hear the implied ""duh""?). So keep that in mind if you want these and don't want sweat to show. I have found that wearing a full underwear and not a thong helps though.
Bottom line: There are no other pants like these that I've tried on, and trust me I've tried soo many looking for any other highwaisted workout pant and none are as comfortable as these. If you have a lot of money where $100 isn't a big deal to you, then go for it and get these. They feel amazing on. But if you're like me and think $100 is a lot of money to spend on leggings, don't buy these. I""m so sad they aren't holding up. At least lululemon does repairs, right? (although now it's clear why).",2 out of 5,SUNDRIEDSTARS,"SAN JOSE, CA, USA",SWEATY GENERALIST,18-24,ATHLETIC,,super soft,quality,2016-05-25,1,1,"{'LL_response_content': ""Hey Sundriedstars,\nThanks for checking in and providing your detailed feedback. We stand behind the quality of our gear, so we'd like to work with you to make this right. I've gone ahead and sent you a follow up email so we can make things right - chat with you soon."", 'LL_response_date': 'May 25, 2016'}"
"Align Pant II 25""",https://shop.lululemon.com/p/women-pants/Align-Pant-2/_/prod2020012?color=35552,2.9 out of 5,194,Hole near the seam,"Im really really hoping that this is just like a one time thing, a defect in just this pair because other than this dang hole that has appeared, they are perfect. so soft and magical. i've had them for less than a month and followed all washing instructions and when putting them on today i found a hole developing on the seam on the inside of my knee :( no problems with pilling though. i really really want more of these leggings but i cant rationalize spending close to $100 on leggings that develop a hole in less than a month.",4 out of 5,MEOWZOEMEOW,"SANTA CRUZ, CA, USA",SWEATY GENERALIST,18-24,SOLID,,soft fabric,poor quality,2016-05-21,0,0,"{'LL_response_content': ""Hey there meowzoemeow,\nI'm so sorry to see and hear about the hole you're experiencing on the seam of your pants. I definitely want to help turn this situation around. Look out for an email that will identify how to proceed."", 'LL_response_date': 'May 21, 2016'}"
"Align Pant II 25""",https://shop.lululemon.com/p/women-pants/Align-Pant-2/_/prod2020012?color=35552,2.9 out of 5,194,Not disappointed!!!,"I waited a few weeks to do this review so I could wear the pants multiple times and wash them several times. These don't disappoint! The fabric feels incredible. I've been doing yoga for two years and always struggle with the waistband in pants, having to fix it, etc. Not on these! No adjustment throughout the practice at all! This was huge for me! And please wash your yoga pants in lingerie bags (these or any other expensive pair really); people complaining about pilling are probably putting these pants in the wash with other rough and heavy fabric.
I'm 5 foot 8, 150 lbs and got a size 8. They fit great.",5 out of 5,YOGINVIRGINIA,"VIRGINIA, USA",YOGI,25-34,CURVY,,the feeling of the fabric,,2016-05-21,3,1,{}
